Data from cinnabarWhite_Reflection__3__18.txt Node;
"Date: Wed Sep 10 11:51:16 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
545,196;11,74
545,443;11,77
545,691;11,78
545,939;11,82
546,186;11,85
546,434;11,87
546,681;11,89
546,929;11,91
547,176;11,92
547,424;11,94
547,671;11,95
547,919;11,96
548,166;11,99
548,414;12,03
548,661;12,06
548,909;12,08
549,156;12,08
549,404;12,08
549,651;12,1
549,898;12,14
550,146;12,16
550,393;12,2
550,64;12,23
550,888;12,25
551,135;12,26
551,382;12,28
551,629;12,29
551,876;12,32
552,124;12,35
552,371;12,4
552,618;12,41
552,865;12,45
553,112;12,47
553,359;12,5
553,606;12,53
553,854;12,54
554,101;12,57
554,348;12,61
554,595;12,66
554,842;12,7
555,089;12,72
555,336;12,76
555,582;12,79
555,829;12,82
556,076;12,84
556,323;12,88
556,57;12,9
556,817;12,95
557,064;12,99
557,311;13,02
557,557;13,02
557,804;13,08
558,051;13,1
558,298;13,15
558,544;13,19
558,791;13,21
559,038;13,23
559,284;13,26
559,531;13,27
559,778;13,29
560,024;13,31
560,271;13,34
560,517;13,36
560,764;13,41
561,011;13,44
561,257;13,46
561,504;13,5
561,75;13,54
561,997;13,56
562,243;13,6
562,489;13,63
562,736;13,68
562,982;13,72
563,229;13,79
563,475;13,84
563,721;13,89
563,968;13,97
564,214;14,05
564,46;14,14
564,707;14,24
564,953;14,29
565,199;14,36
565,445;14,44
565,691;14,53
565,938;14,59
566,184;14,68
566,43;14,78
566,676;14,86
566,922;14,98
567,168;15,06
567,414;15,14
567,66;15,24
567,906;15,33
568,152;15,43
568,398;15,52
568,644;15,64
568,89;15,73
569,136;15,82
569,382;15,9
569,628;15,98
569,874;16,06
570,12;16,18
570,366;16,26
570,612;16,37
570,857;16,46
571,103;16,56
571,349;16,64
571,595;16,74
571,84;16,83
572,086;16,9
572,332;17,03
572,578;17,12
572,823;17,22
573,069;17,33
573,315;17,42
573,56;17,54
573,806;17,62
574,051;17,76
574,297;17,85
574,542;17,99
574,788;18,12
575,034;18,26
575,279;18,37
575,524;18,48
575,77;18,59
576,015;18,73
576,261;18,84
576,506;18,99
576,752;19,11
576,997;19,23
577,242;19,37
577,488;19,49
577,733;19,62
577,978;19,76
578,223;19,9
578,469;20,06
578,714;20,19
578,959;20,32
579,204;20,46
579,45;20,61
579,695;20,74
579,94;20,86
580,185;20,97
580,43;21,1
580,675;21,23
580,92;21,36
581,165;21,49
581,41;21,63
581,655;21,76
581,9;21,91
582,145;22,06
582,39;22,2
582,635;22,35
582,88;22,5
583,125;22,66
583,37;22,81
583,615;22,92
583,86;23,1
584,105;23,28
584,349;23,44
584,594;23,62
584,839;23,79
585,084;23,97
585,328;24,17
585,573;24,36
585,818;24,54
586,063;24,7
586,307;24,85
586,552;24,99
586,797;25,16
587,041;25,32
587,286;25,49
587,53;25,67
587,775;25,86
588,019;26,04
588,264;26,23
588,508;26,41
588,753;26,65
588,997;26,84
589,242;27,03
589,486;27,24
589,731;27,46
589,975;27,67
590,22;27,89
590,464;28,11
590,708;28,34
590,953;28,54
591,197;28,76
591,441;29,01
591,685;29,25
591,93;29,47
592,174;29,68
592,418;29,91
592,662;30,13
592,907;30,32
593,151;30,53
593,395;30,71
593,639;30,93
593,883;31,13
594,127;31,32
594,371;31,51
594,615;31,71
594,859;31,91
595,103;32,14
595,347;32,35
595,591;32,58
595,835;32,8
596,079;33,06
596,323;33,3
596,567;33,53
596,811;33,73
597,055;33,97
597,299;34,19
597,542;34,43
597,786;34,67
598,03;34,92
598,274;35,15
598,518;35,38
598,761;35,58
599,005;35,79
599,249;36,04
599,492;36,28
599,736;36,5
599,98;36,73
600,223;36,94
600,467;37,17
