Data from sienaBrucWhite_Reflection__3__57.txt Node;
"Date: Thu Sep 11 17:17:03 CEST 2025 User: sycur";
450,813;3,41
451,067;3,42
451,322;3,44
451,576;3,45
451,83;3,46
452,084;3,46
452,339;3,47
452,593;3,46
452,847;3,46
453,101;3,47
453,355;3,47
453,609;3,46
453,864;3,47
454,118;3,47
454,372;3,47
454,626;3,47
454,88;3,48
455,134;3,47
455,388;3,48
455,642;3,47
455,896;3,48
456,15;3,48
456,404;3,49
456,658;3,5
456,912;3,5
457,165;3,5
457,419;3,49
457,673;3,48
457,927;3,48
458,181;3,5
458,435;3,51
458,688;3,51
458,942;3,51
459,196;3,5
459,45;3,51
459,703;3,51
459,957;3,52
460,211;3,52
460,464;3,52
460,718;3,52
460,972;3,54
461,225;3,53
461,479;3,52
461,732;3,51
461,986;3,51
462,239;3,51
462,493;3,52
462,746;3,52
463;3,53
463,253;3,55
463,507;3,55
463,76;3,53
464,014;3,53
464,267;3,53
464,52;3,56
464,774;3,57
465,027;3,56
465,28;3,57
465,534;3,56
465,787;3,55
466,04;3,56
466,294;3,54
466,547;3,56
466,8;3,57
467,053;3,57
467,306;3,55
467,56;3,56
467,813;3,56
468,066;3,58
468,319;3,58
468,572;3,58
468,825;3,58
469,078;3,59
469,331;3,61
469,584;3,61
469,837;3,62
470,09;3,62
470,343;3,62
470,596;3,63
470,849;3,64
471,102;3,66
471,355;3,66
471,608;3,69
471,861;3,69
472,114;3,7
472,367;3,69
472,619;3,71
472,872;3,73
473,125;3,74
473,378;3,73
473,631;3,73
473,883;3,75
474,136;3,76
474,389;3,77
474,641;3,76
474,894;3,77
475,147;3,77
475,399;3,77
475,652;3,78
475,905;3,79
476,157;3,79
476,41;3,79
476,662;3,79
476,915;3,79
477,167;3,79
477,42;3,8
477,672;3,82
477,925;3,83
478,177;3,83
478,43;3,83
478,682;3,84
478,934;3,84
479,187;3,84
479,439;3,84
479,691;3,85
479,944;3,86
480,196;3,86
480,448;3,86
480,701;3,87
480,953;3,88
481,205;3,88
481,457;3,89
481,709;3,92
481,962;3,93
482,214;3,95
482,466;3,98
482,718;4,01
482,97;4,05
483,222;4,09
483,474;4,13
483,726;4,16
483,978;4,19
484,23;4,22
484,482;4,23
484,734;4,24
484,986;4,25
485,238;4,26
485,49;4,26
485,742;4,27
485,994;4,28
486,246;4,29
486,498;4,3
486,75;4,3
487,001;4,31
487,253;4,31
487,505;4,31
487,757;4,3
488,009;4,29
488,26;4,27
488,512;4,25
488,764;4,23
489,015;4,21
489,267;4,19
489,519;4,17
489,77;4,16
490,022;4,17
490,274;4,17
490,525;4,18
490,777;4,17
491,028;4,18
491,28;4,19
491,531;4,2
491,783;4,2
492,034;4,21
492,286;4,2
492,537;4,21
492,789;4,22
493,04;4,23
493,291;4,24
493,543;4,25
493,794;4,26
494,045;4,27
494,297;4,27
494,548;4,28
494,799;4,3
495,051;4,31
495,302;4,3
495,553;4,32
495,804;4,32
496,056;4,33
496,307;4,34
496,558;4,35
496,809;4,35
497,06;4,35
497,311;4,36
497,562;4,37
497,813;4,38
498,064;4,38
498,316;4,39
498,567;4,39
498,818;4,39
499,069;4,4
499,319;4,4
499,57;4,41
499,821;4,41
500,072;4,42
500,323;4,42
500,574;4,44
500,825;4,44
501,076;4,46
501,327;4,46
501,577;4,47
501,828;4,47
502,079;4,49
502,33;4,49
502,58;4,5
502,831;4,5
503,082;4,52
503,333;4,53
503,583;4,54
503,834;4,55
504,084;4,55
504,335;4,56
504,586;4,57
504,836;4,57
505,087;4,58
505,337;4,59
505,588;4,59
505,838;4,6
506,089;4,61
506,339;4,62
506,59;4,63
506,84;4,62
507,091;4,64
507,341;4,64
507,591;4,65
507,842;4,65
508,092;4,66
508,343;4,65
508,593;4,66
508,843;4,66
509,093;4,67
509,344;4,67
509,594;4,67
509,844;4,67
510,094;4,68
510,345;4,68
510,595;4,68
510,845;4,69
511,095;4,69
511,345;4,7
511,595;4,7
511,845;4,7
512,095;4,71
512,345;4,7
512,595;4,72
512,845;4,73
513,095;4,73
513,345;4,73
513,595;4,74
513,845;4,74
514,095;4,76
514,345;4,76
514,595;4,78
514,845;4,8
515,095;4,81
515,345;4,82
515,594;4,83
515,844;4,84
516,094;4,85
516,344;4,86
516,593;4,86
516,843;4,85
517,093;4,87
517,343;4,89
517,592;4,9
517,842;4,9
518,092;4,91
518,341;4,92
518,591;4,94
518,84;4,95
519,09;4,96
519,34;4,97
519,589;4,98
519,839;4,97
520,088;4,98
520,338;4,99
520,587;4,99
520,836;4,99
521,086;5
521,335;5,01
521,585;5,03
521,834;5,04
522,083;5,05
522,333;5,05
522,582;5,06
522,831;5,07
523,081;5,08
523,33;5,1
523,579;5,1
523,828;5,11
524,078;5,12
524,327;5,12
524,576;5,14
524,825;5,15
525,074;5,17
525,323;5,18
525,573;5,19
525,822;5,2
526,071;5,21
526,32;5,23
526,569;5,24
526,818;5,25
527,067;5,26
527,316;5,28
527,565;5,29
527,814;5,3
528,063;5,32
528,312;5,33
528,56;5,34
528,809;5,35
529,058;5,37
529,307;5,38
529,556;5,4
529,805;5,4
530,053;5,41
530,302;5,42
530,551;5,44
530,8;5,44
531,048;5,46
531,297;5,47
531,546;5,49
531,794;5,5
532,043;5,51
532,292;5,53
532,54;5,54
532,789;5,56
533,037;5,58
533,286;5,6
533,535;5,61
533,783;5,62
534,032;5,64
534,28;5,65
534,528;5,67
534,777;5,68
535,025;5,7
535,274;5,72
535,522;5,73
535,771;5,75
536,019;5,77
536,267;5,79
536,516;5,81
536,764;5,83
537,012;5,85
537,26;5,87
537,509;5,89
537,757;5,9
538,005;5,92
538,253;5,94
538,501;5,95
538,75;5,98
538,998;6
539,246;6,04
539,494;6,05
539,742;6,08
539,99;6,1
540,238;6,11
540,486;6,13
540,734;6,15
540,982;6,17
541,23;6,2
541,478;6,21
541,726;6,23
541,974;6,26
542,222;6,27
542,47;6,29
542,718;6,32
542,966;6,35
543,213;6,36
543,461;6,38
543,709;6,4
543,957;6,42
544,205;6,44
544,452;6,46
544,7;6,48
544,948;6,49
545,196;6,52
545,443;6,56
545,691;6,58
545,939;6,61
546,186;6,63
546,434;6,66
546,681;6,69
546,929;6,72
547,176;6,75
547,424;6,78
547,671;6,81
547,919;6,84
548,166;6,86
548,414;6,89
548,661;6,93
548,909;6,96
549,156;7
549,404;7,03
549,651;7,06
549,898;7,1
550,146;7,14
550,393;7,18
550,64;7,21
550,888;7,26
551,135;7,3
551,382;7,33
551,629;7,37
551,876;7,4
552,124;7,43
552,371;7,47
552,618;7,5
552,865;7,55
553,112;7,58
553,359;7,63
553,606;7,66
553,854;7,7
554,101;7,73
554,348;7,77
554,595;7,8
554,842;7,83
555,089;7,87
555,336;7,91
555,582;7,94
555,829;7,97
556,076;8
556,323;8,04
556,57;8,08
