Data from sienaBrucWhite_Reflection__1__55.txt Node;
"Date: Thu Sep 11 17:15:43 CEST 2025 User: sycur";
529,058;3,29
529,307;3,3
529,556;3,31
529,805;3,31
530,053;3,32
530,302;3,33
530,551;3,34
530,8;3,34
531,048;3,35
531,297;3,35
531,546;3,36
531,794;3,37
532,043;3,38
532,292;3,39
532,54;3,4
532,789;3,41
533,037;3,42
533,286;3,43
533,535;3,44
533,783;3,44
534,032;3,46
534,28;3,47
534,528;3,47
534,777;3,48
535,025;3,5
535,274;3,5
535,522;3,5
535,771;3,52
536,019;3,53
536,267;3,54
536,516;3,55
536,764;3,57
537,012;3,58
537,26;3,59
537,509;3,59
537,757;3,6
538,005;3,62
538,253;3,62
538,501;3,64
538,75;3,65
538,998;3,67
539,246;3,67
539,494;3,68
539,742;3,69
539,99;3,71
540,238;3,72
540,486;3,73
540,734;3,75
540,982;3,76
541,23;3,78
541,478;3,79
541,726;3,8
541,974;3,81
542,222;3,82
542,47;3,84
542,718;3,86
542,966;3,87
543,213;3,88
543,461;3,89
543,709;3,89
543,957;3,9
544,205;3,91
544,452;3,93
544,7;3,94
544,948;3,95
545,196;3,96
545,443;3,97
545,691;3,99
545,939;4
546,186;4,01
546,434;4,02
546,681;4,04
546,929;4,05
547,176;4,06
547,424;4,07
547,671;4,08
547,919;4,1
548,166;4,11
548,414;4,13
548,661;4,15
548,909;4,17
549,156;4,2
549,404;4,22
549,651;4,24
549,898;4,27
550,146;4,29
550,393;4,32
550,64;4,34
550,888;4,37
551,135;4,39
551,382;4,41
551,629;4,44
551,876;4,46
552,124;4,48
552,371;4,51
552,618;4,54
552,865;4,56
553,112;4,59
553,359;4,61
553,606;4,63
553,854;4,66
554,101;4,68
554,348;4,7
554,595;4,72
554,842;4,74
555,089;4,76
555,336;4,78
555,582;4,8
555,829;4,82
556,076;4,85
556,323;4,87
556,57;4,91
556,817;4,92
557,064;4,95
557,311;4,98
557,557;5
557,804;5,03
558,051;5,05
558,298;5,08
558,544;5,1
558,791;5,13
559,038;5,16
559,284;5,19
559,531;5,22
559,778;5,25
560,024;5,27
560,271;5,3
560,517;5,32
560,764;5,35
561,011;5,39
561,257;5,42
561,504;5,44
561,75;5,47
561,997;5,5
562,243;5,54
562,489;5,56
562,736;5,6
562,982;5,63
563,229;5,66
563,475;5,69
563,721;5,73
563,968;5,77
564,214;5,8
564,46;5,84
564,707;5,88
564,953;5,92
565,199;5,96
565,445;6
565,691;6,05
565,938;6,09
566,184;6,13
566,43;6,18
566,676;6,23
566,922;6,28
567,168;6,34
567,414;6,39
567,66;6,46
567,906;6,5
568,152;6,57
568,398;6,63
568,644;6,7
568,89;6,75
569,136;6,82
569,382;6,88
569,628;6,93
569,874;6,99
570,12;7,05
570,366;7,11
570,612;7,17
570,857;7,22
571,103;7,28
571,349;7,35
571,595;7,41
571,84;7,47
572,086;7,53
572,332;7,59
572,578;7,65
572,823;7,7
573,069;7,76
573,315;7,82
573,56;7,87
573,806;7,92
574,051;7,98
574,297;8,04
574,542;8,1
574,788;8,16
575,034;8,23
575,279;8,29
575,524;8,35
575,77;8,41
576,015;8,47
576,261;8,53
576,506;8,59
576,752;8,64
576,997;8,69
577,242;8,74
577,488;8,8
577,733;8,84
577,978;8,9
578,223;8,96
578,469;9,03
578,714;9,09
578,959;9,16
579,204;9,23
579,45;9,29
579,695;9,35
579,94;9,41
580,185;9,46
580,43;9,52
580,675;9,57
580,92;9,62
581,165;9,66
581,41;9,71
581,655;9,76
581,9;9,82
582,145;9,87
582,39;9,93
582,635;9,98
582,88;10,05
583,125;10,1
583,37;10,16
583,615;10,21
583,86;10,26
584,105;10,3
584,349;10,35
584,594;10,4
584,839;10,46
585,084;10,51
585,328;10,56
585,573;10,61
585,818;10,67
586,063;10,72
586,307;10,77
586,552;10,82
586,797;10,87
587,041;10,92
587,286;10,96
587,53;11,01
587,775;11,05
588,019;11,09
588,264;11,14
588,508;11,18
588,753;11,23
588,997;11,28
589,242;11,34
589,486;11,38
589,731;11,44
589,975;11,49
590,22;11,56
590,464;11,62
590,708;11,69
590,953;11,75
591,197;11,82
591,441;11,87
591,685;11,94
591,93;12
592,174;12,07
592,418;12,13
592,662;12,21
592,907;12,27
593,151;12,35
593,395;12,4
593,639;12,46
593,883;12,52
594,127;12,58
594,371;12,63
594,615;12,7
594,859;12,75
595,103;12,82
595,347;12,87
595,591;12,93
595,835;12,98
596,079;13,04
596,323;13,1
596,567;13,17
596,811;13,23
597,055;13,3
597,299;13,36
597,542;13,43
597,786;13,48
598,03;13,55
598,274;13,61
598,518;13,67
598,761;13,74
599,005;13,81
599,249;13,87
599,492;13,94
599,736;14
599,98;14,06
600,223;14,12
600,467;14,19
600,711;14,25
600,954;14,33
601,198;14,39
601,441;14,45
601,685;14,51
601,928;14,57
602,172;14,63
602,415;14,69
602,659;14,74
602,902;14,8
603,145;14,86
603,389;14,92
603,632;14,99
603,876;15,05
604,119;15,1
604,362;15,16
604,606;15,21
604,849;15,26
605,092;15,32
605,335;15,38
605,579;15,43
605,822;15,49
606,065;15,54
606,308;15,6
606,551;15,66
606,794;15,71
607,037;15,76
607,281;15,82
607,524;15,88
607,767;15,94
608,01;15,99
608,253;16,05
608,496;16,1
608,739;16,16
608,982;16,21
609,225;16,27
609,468;16,33
609,711;16,39
609,953;16,44
610,196;16,5
610,439;16,56
610,682;16,63
610,925;16,68
611,168;16,75
611,41;16,79
611,653;16,85
611,896;16,91
612,139;16,97
612,381;17,02
612,624;17,09
612,867;17,14
613,109;17,2
613,352;17,25
613,595;17,31
613,837;17,36
614,08;17,42
614,322;17,47
614,565;17,53
614,807;17,58
615,05;17,64
615,292;17,69
615,535;17,74
615,777;17,78
616,02;17,84
616,262;17,87
616,505;17,93
616,747;17,97
616,989;18,03
617,232;18,08
617,474;18,14
617,716;18,19
617,959;18,25
618,201;18,31
