Data from redochrewhite_Reflection__4__11.txt Node;
"Date: Wed Sep 10 11:37:29 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
581,165;14,19
581,41;14,28
581,655;14,34
581,9;14,43
582,145;14,51
582,39;14,6
582,635;14,7
582,88;14,79
583,125;14,89
583,37;15
583,615;15,07
583,86;15,18
584,105;15,26
584,349;15,34
584,594;15,41
584,839;15,51
585,084;15,59
585,328;15,68
585,573;15,79
585,818;15,87
586,063;15,96
586,307;16,05
586,552;16,1
586,797;16,19
587,041;16,26
587,286;16,33
587,53;16,41
587,775;16,49
588,019;16,56
588,264;16,64
588,508;16,72
588,753;16,82
588,997;16,88
589,242;16,98
589,486;17,08
589,731;17,19
589,975;17,27
590,22;17,39
590,464;17,51
590,708;17,61
590,953;17,71
591,197;17,81
591,441;17,92
591,685;18,05
591,93;18,14
592,174;18,26
592,418;18,39
592,662;18,48
592,907;18,57
593,151;18,68
593,395;18,76
593,639;18,85
593,883;18,92
594,127;19
594,371;19,09
594,615;19,18
594,859;19,26
595,103;19,37
595,347;19,45
595,591;19,54
595,835;19,6
596,079;19,72
596,323;19,84
596,567;19,95
596,811;20,04
597,055;20,17
597,299;20,26
597,542;20,35
597,786;20,44
598,03;20,54
598,274;20,63
598,518;20,76
598,761;20,85
599,005;20,95
599,249;21,06
599,492;21,17
599,736;21,27
599,98;21,37
600,223;21,47
600,467;21,57
600,711;21,67
600,954;21,78
601,198;21,85
601,441;21,94
601,685;22,01
601,928;22,11
602,172;22,19
602,415;22,27
602,659;22,35
602,902;22,46
603,145;22,55
603,389;22,64
603,632;22,71
603,876;22,82
604,119;22,91
604,362;23,01
604,606;23,08
604,849;23,18
605,092;23,26
605,335;23,35
605,579;23,41
605,822;23,49
606,065;23,57
606,308;23,67
606,551;23,77
