Data from redochrewhite_Reflection__2__09.txt Node;
"Date: Wed Sep 10 11:33:49 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
429,135;6,44
429,391;6,43
429,646;6,46
429,902;6,5
430,158;6,58
430,414;6,54
430,669;6,59
430,925;6,6
431,181;6,64
431,436;6,66
431,692;6,66
431,947;6,62
432,203;6,64
432,458;6,62
432,714;6,62
432,97;6,63
433,225;6,64
433,481;6,61
433,736;6,61
433,991;6,6
434,247;6,56
434,502;6,6
434,758;6,63
435,013;6,6
435,268;6,56
435,524;6,52
435,779;6,54
436,034;6,52
436,29;6,49
436,545;6,42
436,8;6,4
437,056;6,41
437,311;6,4
437,566;6,41
437,821;6,42
438,076;6,42
438,331;6,42
438,587;6,48
438,842;6,47
439,097;6,47
439,352;6,45
439,607;6,46
439,862;6,38
440,117;6,36
440,372;6,34
440,627;6,39
440,882;6,33
441,137;6,37
441,392;6,39
441,647;6,44
441,902;6,51
442,157;6,56
442,412;6,56
442,667;6,55
442,921;6,59
443,176;6,61
443,431;6,66
443,686;6,65
443,941;6,61
444,195;6,63
444,45;6,57
444,705;6,62
444,96;6,68
445,214;6,68
445,469;6,66
445,724;6,67
445,978;6,67
446,233;6,72
446,487;6,73
446,742;6,7
446,997;6,68
447,251;6,67
447,506;6,64
447,76;6,63
448,015;6,63
448,269;6,63
448,524;6,64
448,778;6,6
449,033;6,57
449,287;6,56
449,541;6,55
449,796;6,63
450,05;6,65
450,305;6,61
450,559;6,67
450,813;6,71
451,067;6,68
451,322;6,69
451,576;6,71
451,83;6,7
452,084;6,76
452,339;6,82
452,593;6,83
452,847;6,83
453,101;6,83
453,355;6,84
453,609;6,86
453,864;6,83
454,118;6,78
454,372;6,77
454,626;6,79
454,88;6,78
455,134;6,78
455,388;6,76
455,642;6,79
455,896;6,77
456,15;6,73
456,404;6,8
456,658;6,78
456,912;6,76
457,165;6,74
457,419;6,68
457,673;6,62
457,927;6,55
458,181;6,58
458,435;6,58
458,688;6,56
458,942;6,53
459,196;6,52
459,45;6,52
459,703;6,55
459,957;6,51
460,211;6,51
460,464;6,49
460,718;6,5
460,972;6,46
461,225;6,46
461,479;6,46
461,732;6,41
461,986;6,43
462,239;6,43
462,493;6,41
462,746;6,48
463;6,46
463,253;6,51
463,507;6,46
463,76;6,52
464,014;6,5
464,267;6,5
464,52;6,53
464,774;6,59
465,027;6,62
465,28;6,66
465,534;6,64
465,787;6,65
466,04;6,62
466,294;6,64
466,547;6,62
466,8;6,66
467,053;6,69
467,306;6,7
467,56;6,72
467,813;6,75
468,066;6,68
468,319;6,69
468,572;6,67
468,825;6,69
469,078;6,65
469,331;6,7
469,584;6,7
469,837;6,67
470,09;6,7
470,343;6,67
470,596;6,69
470,849;6,73
471,102;6,72
471,355;6,75
471,608;6,75
471,861;6,8
472,114;6,8
472,367;6,79
472,619;6,8
472,872;6,79
473,125;6,79
473,378;6,82
473,631;6,86
473,883;6,88
474,136;6,88
474,389;6,91
474,641;6,91
474,894;6,87
475,147;6,92
475,399;6,9
475,652;6,91
475,905;6,89
476,157;6,91
476,41;6,94
476,662;6,94
476,915;6,94
477,167;6,95
477,42;6,94
477,672;6,97
477,925;6,96
478,177;6,99
478,43;7,02
478,682;7,03
478,934;7,01
479,187;7,02
479,439;7,03
479,691;7,04
479,944;7,05
480,196;7,1
480,448;7,08
480,701;7,08
480,953;7,09
481,205;7,11
481,457;7,1
481,709;7,09
481,962;7,1
482,214;7,15
482,466;7,15
482,718;7,2
482,97;7,23
483,222;7,26
483,474;7,29
483,726;7,32
483,978;7,33
484,23;7,37
484,482;7,37
484,734;7,38
484,986;7,37
485,238;7,38
485,49;7,38
485,742;7,39
485,994;7,39
486,246;7,38
486,498;7,35
486,75;7,38
487,001;7,37
487,253;7,38
487,505;7,35
487,757;7,34
488,009;7,33
488,26;7,33
488,512;7,32
488,764;7,28
489,015;7,27
489,267;7,26
489,519;7,24
489,77;7,26
490,022;7,28
490,274;7,27
490,525;7,29
490,777;7,27
491,028;7,28
491,28;7,29
491,531;7,31
491,783;7,32
492,034;7,3
492,286;7,32
492,537;7,34
492,789;7,35
493,04;7,36
493,291;7,34
493,543;7,36
493,794;7,35
494,045;7,37
494,297;7,37
494,548;7,37
494,799;7,37
495,051;7,36
495,302;7,37
495,553;7,39
495,804;7,39
496,056;7,4
496,307;7,38
496,558;7,4
496,809;7,38
497,06;7,42
497,311;7,42
497,562;7,41
497,813;7,4
498,064;7,4
498,316;7,42
498,567;7,44
498,818;7,38
499,069;7,37
499,319;7,36
499,57;7,36
499,821;7,34
500,072;7,37
500,323;7,37
500,574;7,35
500,825;7,36
501,076;7,36
501,327;7,38
501,577;7,41
501,828;7,41
502,079;7,42
502,33;7,43
502,58;7,45
502,831;7,46
503,082;7,47
503,333;7,5
503,583;7,51
503,834;7,55
504,084;7,58
504,335;7,59
504,586;7,6
504,836;7,61
505,087;7,63
505,337;7,62
505,588;7,62
505,838;7,62
506,089;7,63
506,339;7,63
506,59;7,64
506,84;7,65
507,091;7,68
507,341;7,68
507,591;7,68
507,842;7,69
508,092;7,71
508,343;7,73
508,593;7,71
508,843;7,69
509,093;7,67
509,344;7,69
509,594;7,72
509,844;7,74
510,094;7,73
510,345;7,73
510,595;7,74
510,845;7,75
511,095;7,76
511,345;7,75
511,595;7,78
511,845;7,76
512,095;7,75
512,345;7,75
512,595;7,76
512,845;7,76
513,095;7,76
513,345;7,77
513,595;7,74
513,845;7,75
514,095;7,75
514,345;7,77
514,595;7,77
514,845;7,75
515,095;7,74
515,345;7,76
515,594;7,76
515,844;7,76
516,094;7,78
516,344;7,78
516,593;7,78
516,843;7,75
517,093;7,77
517,343;7,79
517,592;7,78
517,842;7,8
518,092;7,84
518,341;7,82
518,591;7,83
