Data from lapisWhite_Reflection__2__35.txt Node;
"Date: Fri Sep 12 11:16:31 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
503,834;48,34
504,084;48,16
504,335;47,94
504,586;47,75
504,836;47,57
505,087;47,37
505,337;47,17
505,588;46,96
505,838;46,77
506,089;46,58
506,339;46,41
506,59;46,22
506,84;46,01
507,091;45,85
507,341;45,66
507,591;45,48
507,842;45,28
508,092;45,1
508,343;44,92
508,593;44,74
508,843;44,55
509,093;44,38
509,344;44,19
509,594;44,02
509,844;43,84
510,094;43,65
510,345;43,47
510,595;43,3
510,845;43,13
511,095;42,95
511,345;42,78
511,595;42,59
511,845;42,4
512,095;42,25
512,345;42,09
512,595;41,92
512,845;41,75
513,095;41,59
513,345;41,43
513,595;41,27
513,845;41,1
514,095;40,95
514,345;40,8
514,595;40,65
514,845;40,48
515,095;40,36
515,345;40,22
515,594;40,08
515,844;39,93
516,094;39,76
516,344;39,6
516,593;39,44
516,843;39,3
517,093;39,18
517,343;39,01
517,592;38,86
517,842;38,7
518,092;38,56
518,341;38,4
518,591;38,26
518,84;38,12
519,09;37,98
519,34;37,85
519,589;37,71
519,839;37,55
520,088;37,41
520,338;37,28
520,587;37,13
520,836;36,99
521,086;36,86
521,335;36,74
521,585;36,61
521,834;36,49
522,083;36,37
522,333;36,23
522,582;36,11
522,831;36
523,081;35,88
523,33;35,77
523,579;35,66
523,828;35,56
524,078;35,44
524,327;35,32
524,576;35,2
524,825;35,09
525,074;34,98
525,323;34,88
525,573;34,75
525,822;34,64
526,071;34,53
526,32;34,43
526,569;34,33
526,818;34,23
527,067;34,11
527,316;34
527,565;33,88
527,814;33,78
528,063;33,66
528,312;33,55
528,56;33,44
528,809;33,32
529,058;33,21
529,307;33,1
529,556;33,01
529,805;32,92
530,053;32,82
530,302;32,72
530,551;32,63
530,8;32,53
531,048;32,45
531,297;32,36
531,546;32,25
531,794;32,16
532,043;32,08
532,292;31,99
532,54;31,9
532,789;31,81
533,037;31,73
533,286;31,65
533,535;31,58
533,783;31,48
534,032;31,41
534,28;31,33
534,528;31,26
534,777;31,17
535,025;31,07
535,274;30,99
535,522;30,92
535,771;30,84
536,019;30,76
536,267;30,67
536,516;30,61
536,764;30,53
537,012;30,45
537,26;30,35
537,509;30,28
537,757;30,21
