Data from bitumeWhite_Reflection__2__06.txt Node;
"Date: Fri Sep 12 10:26:38 CEST 2025 User: sycur";
596,079;12,67
596,323;12,66
596,567;12,68
596,811;12,67
597,055;12,7
597,299;12,67
597,542;12,69
597,786;12,68
598,03;12,69
598,274;12,67
598,518;12,7
598,761;12,7
599,005;12,71
599,249;12,7
599,492;12,71
599,736;12,72
599,98;12,75
600,223;12,75
600,467;12,76
600,711;12,77
600,954;12,79
601,198;12,81
601,441;12,82
601,685;12,81
601,928;12,83
602,172;12,82
602,415;12,83
602,659;12,83
602,902;12,86
603,145;12,85
603,389;12,87
603,632;12,85
603,876;12,86
604,119;12,86
604,362;12,85
604,606;12,85
604,849;12,86
605,092;12,84
605,335;12,83
605,579;12,83
605,822;12,83
606,065;12,82
606,308;12,82
606,551;12,81
606,794;12,81
607,037;12,8
607,281;12,81
607,524;12,83
607,767;12,84
608,01;12,82
608,253;12,82
608,496;12,81
608,739;12,83
608,982;12,81
609,225;12,81
609,468;12,83
609,711;12,84
609,953;12,84
610,196;12,86
610,439;12,88
610,682;12,88
610,925;12,87
611,168;12,87
611,41;12,86
611,653;12,9
611,896;12,89
612,139;12,91
612,381;12,9
612,624;12,87
612,867;12,86
613,109;12,88
613,352;12,88
613,595;12,88
613,837;12,88
614,08;12,88
614,322;12,89
614,565;12,9
614,807;12,9
615,05;12,89
615,292;12,88
615,535;12,88
615,777;12,88
616,02;12,91
616,262;12,92
616,505;12,92
616,747;12,92
616,989;12,93
617,232;12,93
617,474;12,93
617,716;12,95
617,959;12,96
618,201;12,97
618,443;12,98
618,685;12,97
618,927;12,99
619,17;13
619,412;13,01
619,654;13
619,896;13,01
620,138;13,03
620,38;13,06
620,622;13,07
620,864;13,09
621,107;13,08
621,349;13,1
621,591;13,11
621,833;13,12
622,075;13,14
622,316;13,16
622,558;13,18
622,8;13,19
623,042;13,18
623,284;13,18
623,526;13,18
623,768;13,2
624,01;13,2
624,251;13,2
624,493;13,2
624,735;13,18
624,977;13,2
625,218;13,18
625,46;13,2
625,702;13,2
625,943;13,18
626,185;13,2
626,427;13,18
