Data from IndigoWhite_Reflection__3__55.txt Node;
"Date: Fri Sep 12 11:53:23 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
511,595;1,54
511,845;1,54
512,095;1,55
512,345;1,55
512,595;1,56
512,845;1,55
513,095;1,56
513,345;1,56
513,595;1,55
513,845;1,55
514,095;1,54
514,345;1,53
514,595;1,54
514,845;1,54
515,095;1,53
515,345;1,52
515,594;1,52
515,844;1,52
516,094;1,52
516,344;1,51
516,593;1,5
516,843;1,49
517,093;1,49
517,343;1,49
517,592;1,49
517,842;1,49
518,092;1,49
518,341;1,49
518,591;1,49
518,84;1,5
519,09;1,5
519,34;1,5
519,589;1,51
519,839;1,51
520,088;1,51
520,338;1,52
520,587;1,52
520,836;1,51
521,086;1,5
521,335;1,51
521,585;1,51
521,834;1,52
522,083;1,52
522,333;1,51
522,582;1,51
522,831;1,51
523,081;1,5
523,33;1,49
523,579;1,49
523,828;1,51
524,078;1,51
524,327;1,51
524,576;1,51
524,825;1,49
525,074;1,48
525,323;1,46
525,573;1,46
525,822;1,46
526,071;1,46
526,32;1,46
526,569;1,46
526,818;1,46
527,067;1,45
527,316;1,46
527,565;1,46
527,814;1,46
528,063;1,45
528,312;1,46
528,56;1,46
528,809;1,45
529,058;1,44
529,307;1,43
529,556;1,44
529,805;1,44
530,053;1,46
530,302;1,46
530,551;1,48
530,8;1,47
531,048;1,48
531,297;1,47
531,546;1,47
531,794;1,47
532,043;1,46
532,292;1,46
532,54;1,46
532,789;1,46
533,037;1,46
533,286;1,46
533,535;1,47
533,783;1,46
534,032;1,46
534,28;1,47
534,528;1,46
534,777;1,46
535,025;1,45
535,274;1,45
535,522;1,44
535,771;1,45
536,019;1,44
536,267;1,44
536,516;1,45
536,764;1,45
537,012;1,45
537,26;1,45
537,509;1,45
537,757;1,45
538,005;1,44
538,253;1,44
538,501;1,45
538,75;1,44
538,998;1,44
539,246;1,44
539,494;1,44
539,742;1,44
539,99;1,43
540,238;1,44
540,486;1,43
540,734;1,42
540,982;1,41
541,23;1,41
541,478;1,41
541,726;1,41
541,974;1,41
542,222;1,41
542,47;1,4
542,718;1,4
542,966;1,4
543,213;1,4
543,461;1,39
543,709;1,38
543,957;1,39
544,205;1,39
544,452;1,4
544,7;1,39
544,948;1,39
545,196;1,38
545,443;1,38
545,691;1,38
545,939;1,39
546,186;1,38
546,434;1,38
546,681;1,38
546,929;1,38
547,176;1,38
547,424;1,39
547,671;1,39
547,919;1,39
548,166;1,39
548,414;1,4
548,661;1,4
548,909;1,4
549,156;1,4
549,404;1,39
549,651;1,39
549,898;1,4
550,146;1,41
550,393;1,42
550,64;1,42
550,888;1,42
551,135;1,42
551,382;1,43
551,629;1,43
551,876;1,44
552,124;1,44
552,371;1,44
552,618;1,43
552,865;1,44
553,112;1,43
553,359;1,42
553,606;1,42
553,854;1,42
554,101;1,43
554,348;1,42
554,595;1,42
554,842;1,42
555,089;1,41
555,336;1,41
555,582;1,41
555,829;1,4
556,076;1,4
556,323;1,4
556,57;1,4
556,817;1,39
557,064;1,39
557,311;1,38
557,557;1,37
557,804;1,37
558,051;1,36
558,298;1,36
558,544;1,36
558,791;1,36
559,038;1,36
559,284;1,35
559,531;1,35
559,778;1,35
560,024;1,35
560,271;1,35
560,517;1,34
560,764;1,34
561,011;1,35
561,257;1,35
561,504;1,35
561,75;1,35
561,997;1,35
562,243;1,36
562,489;1,36
562,736;1,36
562,982;1,37
563,229;1,37
563,475;1,38
563,721;1,38
