Data from GiallorinoWhite_Reflection__0__30.txt Node;
"Date: Thu Sep 11 16:41:58 CEST 2025 User: sycur";
517,343;69,7
517,592;69,87
517,842;70,03
518,092;70,18
518,341;70,34
518,591;70,51
518,84;70,68
519,09;70,82
519,34;70,98
519,589;71,13
519,839;71,27
520,088;71,41
520,338;71,54
520,587;71,67
520,836;71,81
521,086;71,95
521,335;72,12
521,585;72,25
521,834;72,37
522,083;72,5
522,333;72,62
522,582;72,76
522,831;72,89
523,081;73,01
523,33;73,14
523,579;73,25
523,828;73,38
524,078;73,49
524,327;73,62
524,576;73,74
524,825;73,86
525,074;73,99
525,323;74,1
525,573;74,21
525,822;74,34
526,071;74,45
526,32;74,54
526,569;74,63
526,818;74,74
527,067;74,85
527,316;74,95
527,565;75,05
527,814;75,16
528,063;75,25
528,312;75,36
528,56;75,45
528,809;75,55
529,058;75,63
529,307;75,71
529,556;75,79
529,805;75,88
530,053;75,94
530,302;76,01
530,551;76,11
530,8;76,19
531,048;76,25
531,297;76,32
531,546;76,4
531,794;76,48
532,043;76,56
532,292;76,62
532,54;76,7
532,789;76,77
533,037;76,81
533,286;76,86
533,535;76,91
533,783;76,98
534,032;77,03
534,28;77,09
534,528;77,15
534,777;77,23
535,025;77,29
535,274;77,34
535,522;77,4
535,771;77,44
536,019;77,51
536,267;77,58
536,516;77,64
536,764;77,7
537,012;77,75
537,26;77,79
537,509;77,86
537,757;77,88
538,005;77,93
538,253;78
538,501;78,06
538,75;78,09
538,998;78,14
539,246;78,18
539,494;78,2
539,742;78,25
539,99;78,3
540,238;78,34
540,486;78,38
540,734;78,41
540,982;78,45
541,23;78,48
541,478;78,49
541,726;78,52
541,974;78,59
542,222;78,63
542,47;78,67
542,718;78,7
542,966;78,75
543,213;78,77
543,461;78,8
543,709;78,81
543,957;78,84
544,205;78,87
544,452;78,9
544,7;78,93
544,948;78,95
545,196;78,97
545,443;78,98
545,691;79,01
545,939;79,03
546,186;79,06
546,434;79,1
546,681;79,15
546,929;79,19
547,176;79,17
547,424;79,18
547,671;79,19
547,919;79,2
548,166;79,23
548,414;79,25
548,661;79,27
548,909;79,28
549,156;79,33
549,404;79,35
549,651;79,37
549,898;79,39
550,146;79,4
550,393;79,41
550,64;79,44
550,888;79,45
551,135;79,48
551,382;79,5
551,629;79,51
551,876;79,52
552,124;79,53
