Data from malachiteVSwhite_Reflection__3__51.txt Node;
"Date: Wed Sep 10 12:52:51 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
490,777;19,66
491,028;19,73
491,28;19,75
491,531;19,8
491,783;19,82
492,034;19,87
492,286;19,92
492,537;19,98
492,789;20
493,04;20,02
493,291;20,06
493,543;20,14
493,794;20,16
494,045;20,23
494,297;20,27
494,548;20,32
494,799;20,35
495,051;20,39
495,302;20,42
495,553;20,48
495,804;20,49
496,056;20,56
496,307;20,58
496,558;20,65
496,809;20,69
497,06;20,78
497,311;20,82
497,562;20,86
497,813;20,89
498,064;20,94
498,316;21,01
498,567;21,06
498,818;21,08
499,069;21,14
499,319;21,16
499,57;21,22
499,821;21,25
500,072;21,31
500,323;21,37
500,574;21,41
500,825;21,44
501,076;21,52
501,327;21,53
501,577;21,59
501,828;21,57
502,079;21,64
502,33;21,65
502,58;21,7
502,831;21,71
503,082;21,75
503,333;21,8
503,583;21,82
503,834;21,88
504,084;21,92
504,335;21,95
504,586;21,98
504,836;22
505,087;22,05
505,337;22,1
505,588;22,13
505,838;22,17
506,089;22,25
506,339;22,29
506,59;22,37
506,84;22,39
507,091;22,49
507,341;22,53
507,591;22,59
507,842;22,61
508,092;22,66
508,343;22,67
508,593;22,68
508,843;22,67
509,093;22,65
509,344;22,68
509,594;22,74
509,844;22,79
510,094;22,84
510,345;22,89
510,595;22,91
510,845;22,93
511,095;22,95
511,345;22,94
511,595;22,96
511,845;22,94
512,095;22,97
512,345;22,94
512,595;22,94
512,845;22,93
513,095;22,95
513,345;22,95
513,595;22,95
513,845;22,95
514,095;22,99
514,345;23,04
514,595;23,03
514,845;23,02
515,095;23
515,345;22,98
515,594;22,98
515,844;22,97
516,094;22,96
