Data from malachiteVSwhite_Reflection__0__48.txt Node;
"Date: Wed Sep 10 12:48:53 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
447,76;33,6
448,015;33,57
448,269;33,61
448,524;33,61
448,778;33,63
449,033;33,65
449,287;33,72
449,541;33,77
449,796;33,78
450,05;33,8
450,305;33,8
450,559;33,89
450,813;33,91
451,067;33,87
451,322;33,85
451,576;33,84
451,83;33,9
452,084;34
452,339;34,01
452,593;34,05
452,847;33,97
453,101;33,99
453,355;34,08
453,609;34,08
453,864;34,1
454,118;34,07
454,372;34,05
454,626;34,12
454,88;34,16
455,134;34,17
455,388;34,19
455,642;34,24
455,896;34,25
456,15;34,25
456,404;34,32
456,658;34,34
456,912;34,32
457,165;34,26
457,419;34,25
457,673;34,29
457,927;34,3
458,181;34,44
458,435;34,49
458,688;34,5
458,942;34,52
459,196;34,56
459,45;34,66
459,703;34,72
459,957;34,72
460,211;34,7
460,464;34,7
460,718;34,76
460,972;34,77
461,225;34,79
461,479;34,82
461,732;34,88
461,986;34,94
462,239;35,02
462,493;35,12
462,746;35,2
463;35,19
463,253;35,31
463,507;35,28
463,76;35,33
464,014;35,36
464,267;35,42
464,52;35,5
464,774;35,51
465,027;35,55
465,28;35,62
465,534;35,7
465,787;35,78
466,04;35,77
466,294;35,8
466,547;35,78
466,8;35,85
467,053;35,84
467,306;35,86
467,56;35,87
467,813;35,87
468,066;35,91
468,319;35,99
468,572;35,96
468,825;35,98
469,078;36,05
469,331;36,13
469,584;36,2
469,837;36,26
470,09;36,32
470,343;36,4
470,596;36,48
470,849;36,55
471,102;36,61
471,355;36,73
471,608;36,81
471,861;36,97
472,114;37
472,367;37,14
472,619;37,24
472,872;37,38
473,125;37,44
473,378;37,56
473,631;37,62
473,883;37,69
474,136;37,76
474,389;37,84
474,641;37,87
474,894;37,93
475,147;37,95
475,399;38,03
475,652;38,05
475,905;38,09
476,157;38,14
476,41;38,19
476,662;38,2
476,915;38,28
477,167;38,36
477,42;38,44
477,672;38,45
477,925;38,5
478,177;38,56
478,43;38,61
478,682;38,65
478,934;38,67
479,187;38,7
479,439;38,79
479,691;38,84
479,944;38,9
480,196;38,94
480,448;39,01
480,701;39,08
480,953;39,17
481,205;39,23
481,457;39,3
489,77;40,69
490,022;40,74
490,274;40,75
490,525;40,78
490,777;40,83
491,028;40,88
491,28;40,88
491,531;40,94
491,783;40,93
492,034;40,96
492,286;40,95
492,537;41,02
492,789;41,07
493,04;41,09
493,291;41,14
493,543;41,13
493,794;41,15
494,045;41,17
494,297;41,19
494,548;41,21
494,799;41,22
495,051;41,26
495,302;41,3
495,553;41,32
495,804;41,37
496,056;41,41
496,307;41,43
496,558;41,48
496,809;41,49
497,06;41,54
497,311;41,58
497,562;41,61
497,813;41,66
498,064;41,7
498,316;41,73
498,567;41,77
498,818;41,77
499,069;41,86
499,319;41,91
499,57;41,93
499,821;41,93
500,072;41,99
500,323;42,05
500,574;42,09
500,825;42,14
501,076;42,18
501,327;42,19
501,577;42,21
501,828;42,21
502,079;42,28
502,33;42,3
502,58;42,34
502,831;42,31
503,082;42,33
503,333;42,33
503,583;42,39
503,834;42,43
504,084;42,47
504,335;42,47
504,586;42,49
504,836;42,55
505,087;42,57
505,337;42,59
505,588;42,58
505,838;42,58
506,089;42,64
506,339;42,63
506,59;42,67
506,84;42,67
507,091;42,76
507,341;42,76
507,591;42,81
507,842;42,86
508,092;42,95
508,343;42,94
508,593;42,98
508,843;42,97
509,093;42,92
509,344;42,91
509,594;42,92
509,844;42,94
510,094;42,94
510,345;42,99
510,595;43,03
510,845;43,04
511,095;43,06
511,345;43,04
511,595;43,07
511,845;43,08
512,095;43,11
512,345;43,07
512,595;43,08
512,845;43,08
513,095;43,06
513,345;43,05
513,595;43,07
513,845;43,06
514,095;43,08
514,345;43,12
514,595;43,18
514,845;43,19
515,095;43,14
515,345;43,15
515,594;43,19
515,844;43,16
516,094;43,21
