Data from malachiteVSwhite_Reflection__4__52.txt Node;
"Date: Wed Sep 10 12:54:03 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
516,843;26,51
517,093;26,51
517,343;26,49
517,592;26,52
517,842;26,52
518,092;26,51
518,341;26,48
518,591;26,46
518,84;26,45
519,09;26,46
519,34;26,42
519,589;26,35
519,839;26,37
520,088;26,34
520,338;26,3
520,587;26,28
520,836;26,26
521,086;26,25
521,335;26,2
521,585;26,14
521,834;26,11
522,083;26,08
522,333;26,05
522,582;26,05
522,831;26,05
523,081;26,02
523,33;25,97
523,579;25,95
523,828;25,94
524,078;25,86
524,327;25,8
524,576;25,78
524,825;25,77
525,074;25,71
525,323;25,67
525,573;25,66
525,822;25,62
526,071;25,59
526,32;25,55
526,569;25,53
526,818;25,53
527,067;25,51
527,316;25,43
527,565;25,41
527,814;25,35
528,063;25,27
528,312;25,24
528,56;25,23
528,809;25,18
529,058;25,14
529,307;25,13
529,556;25,1
529,805;25,04
530,053;25,01
530,302;24,96
530,551;24,94
530,8;24,86
531,048;24,82
531,297;24,77
531,546;24,7
531,794;24,64
532,043;24,58
532,292;24,52
532,54;24,49
532,789;24,41
533,037;24,36
533,286;24,29
533,535;24,22
533,783;24,13
534,032;24,09
534,28;24,02
534,528;23,95
534,777;23,87
535,025;23,82
535,274;23,76
535,522;23,69
535,771;23,61
536,019;23,56
536,267;23,49
536,516;23,4
536,764;23,34
537,012;23,26
537,26;23,16
537,509;23,09
537,757;23,02
538,005;22,95
538,253;22,84
538,501;22,8
538,75;22,7
538,998;22,64
539,246;22,55
539,494;22,47
539,742;22,37
539,99;22,32
540,238;22,23
540,486;22,15
540,734;22,05
540,982;21,97
541,23;21,91
541,478;21,84
541,726;21,76
541,974;21,7
542,222;21,65
542,47;21,61
542,718;21,55
542,966;21,48
543,213;21,4
543,461;21,36
543,709;21,27
543,957;21,21
544,205;21,12
544,452;21,05
544,7;20,97
544,948;20,9
545,196;20,82
545,443;20,79
545,691;20,74
545,939;20,7
546,186;20,63
546,434;20,55
546,681;20,47
546,929;20,4
547,176;20,32
547,424;20,24
547,671;20,14
547,919;20,08
548,166;20,01
548,414;19,94
548,661;19,87
548,909;19,82
549,156;19,75
549,404;19,69
549,651;19,62
549,898;19,58
550,146;19,51
550,393;19,44
550,64;19,36
550,888;19,27
551,135;19,2
551,382;19,11
551,629;19,03
551,876;18,97
552,124;18,91
552,371;18,85
552,618;18,79
552,865;18,73
553,112;18,63
553,359;18,57
553,606;18,5
553,854;18,43
554,101;18,33
554,348;18,27
554,595;18,2
554,842;18,12
555,089;18,04
555,336;17,98
555,582;17,9
555,829;17,81
556,076;17,72
556,323;17,64
556,57;17,57
556,817;17,51
557,064;17,43
557,311;17,35
557,557;17,25
557,804;17,17
558,051;17,08
558,298;17
558,544;16,92
558,791;16,83
559,038;16,7
559,284;16,65
559,531;16,58
559,778;16,49
560,024;16,42
560,271;16,35
560,517;16,28
560,764;16,2
561,011;16,1
561,257;16,05
561,504;15,99
561,75;15,91
561,997;15,81
562,243;15,74
562,489;15,64
562,736;15,59
562,982;15,52
563,229;15,48
563,475;15,42
563,721;15,35
563,968;15,3
564,214;15,28
564,46;15,23
564,707;15,16
564,953;15,11
565,199;15,07
565,445;15,02
565,691;14,93
565,938;14,91
566,184;14,88
566,43;14,84
566,676;14,8
566,922;14,75
567,168;14,72
567,414;14,69
567,66;14,69
567,906;14,66
568,152;14,63
568,398;14,58
568,644;14,56
568,89;14,52
569,136;14,48
569,382;14,45
569,628;14,4
569,874;14,34
570,12;14,3
570,366;14,25
570,612;14,23
570,857;14,22
571,103;14,17
571,349;14,13
571,595;14,1
571,84;14,06
572,086;14,03
572,332;13,99
572,578;13,94
572,823;13,89
573,069;13,85
573,315;13,81
573,56;13,78
573,806;13,72
574,051;13,71
574,297;13,67
574,542;13,64
574,788;13,6
575,034;13,6
575,279;13,56
575,524;13,53
575,77;13,49
576,015;13,45
576,261;13,42
576,506;13,42
576,752;13,38
576,997;13,33
577,242;13,31
577,488;13,29
577,733;13,24
577,978;13,22
578,223;13,18
578,469;13,15
578,714;13,11
578,959;13,1
579,204;13,07
579,45;13,04
579,695;13
579,94;12,98
580,185;12,94
580,43;12,92
580,675;12,89
580,92;12,84
581,165;12,81
581,41;12,78
581,655;12,72
581,9;12,7
582,145;12,67
582,39;12,64
582,635;12,61
582,88;12,6
583,125;12,57
583,37;12,54
583,615;12,49
583,86;12,46
584,105;12,42
584,349;12,37
584,594;12,33
584,839;12,29
585,084;12,25
585,328;12,22
585,573;12,18
585,818;12,14
586,063;12,11
586,307;12,07
586,552;12,02
586,797;11,99
587,041;11,95
587,286;11,91
587,53;11,84
587,775;11,8
588,019;11,75
588,264;11,7
588,508;11,66
588,753;11,64
588,997;11,6
589,242;11,55
589,486;11,51
589,731;11,48
589,975;11,44
590,22;11,41
590,464;11,36
590,708;11,34
590,953;11,3
591,197;11,26
591,441;11,22
591,685;11,22
591,93;11,18
592,174;11,14
592,418;11,11
592,662;11,11
592,907;11,07
593,151;11,05
593,395;11,02
593,639;10,98
593,883;10,94
594,127;10,9
594,371;10,87
594,615;10,83
594,859;10,79
595,103;10,78
595,347;10,73
595,591;10,69
595,835;10,63
596,079;10,61
596,323;10,59
596,567;10,55
596,811;10,5
597,055;10,46
597,299;10,43
597,542;10,41
597,786;10,37
598,03;10,35
598,274;10,32
598,518;10,3
598,761;10,27
599,005;10,25
599,249;10,24
599,492;10,22
599,736;10,2
599,98;10,17
600,223;10,12
600,467;10,11
600,711;10,08
600,954;10,05
601,198;10,01
601,441;9,98
601,685;9,96
601,928;9,94
602,172;9,92
602,415;9,91
602,659;9,88
602,902;9,84
603,145;9,81
603,389;9,78
603,632;9,74
603,876;9,71
604,119;9,7
604,362;9,66
604,606;9,63
604,849;9,6
605,092;9,57
605,335;9,55
605,579;9,53
605,822;9,51
606,065;9,48
606,308;9,46
606,551;9,44
606,794;9,42
607,037;9,39
607,281;9,37
607,524;9,34
607,767;9,31
608,01;9,29
608,253;9,27
608,496;9,26
608,739;9,23
608,982;9,22
609,225;9,19
609,468;9,15
609,711;9,12
609,953;9,11
610,196;9,1
610,439;9,06
610,682;9,02
610,925;9,02
611,168;8,99
611,41;8,96
611,653;8,93
611,896;8,91
612,139;8,88
612,381;8,86
612,624;8,85
612,867;8,83
