Data from MinioWhite_Reflection__1__39.txt Node;
"Date: Thu Sep 11 16:56:23 CEST 2025 User: sycur";
606,308;74,13
606,551;74,25
606,794;74,33
607,037;74,43
607,281;74,51
607,524;74,57
607,767;74,66
608,01;74,74
608,253;74,84
608,496;74,95
608,739;75,03
608,982;75,11
609,225;75,2
609,468;75,27
609,711;75,35
609,953;75,44
610,196;75,51
610,439;75,59
610,682;75,67
610,925;75,77
611,168;75,85
611,41;75,93
611,653;75,99
611,896;76,08
612,139;76,14
612,381;76,21
612,624;76,3
612,867;76,35
613,109;76,42
613,352;76,5
613,595;76,55
613,837;76,6
614,08;76,67
614,322;76,72
614,565;76,8
614,807;76,86
615,05;76,92
615,292;77
615,535;77,06
615,777;77,13
616,02;77,18
616,262;77,23
616,505;77,29
616,747;77,35
616,989;77,4
617,232;77,46
617,474;77,52
617,716;77,58
617,959;77,65
618,201;77,74
618,443;77,79
618,685;77,84
618,927;77,92
619,17;77,98
619,412;78,04
619,654;78,1
619,896;78,16
620,138;78,23
620,38;78,27
620,622;78,32
620,864;78,39
621,107;78,42
621,349;78,46
621,591;78,52
621,833;78,6
622,075;78,66
622,316;78,7
622,558;78,77
622,8;78,83
623,042;78,91
623,284;78,94
623,526;79,01
623,768;79,08
624,01;79,12
624,251;79,18
624,493;79,24
624,735;79,28
624,977;79,33
625,218;79,38
625,46;79,44
625,702;79,5
625,943;79,55
626,185;79,62
