Data from ombraBrucWhite_Reflection__4__68.txt Node;
"Date: Thu Sep 11 17:29:53 CEST 2025 User: sycur";
517,343;8,6
517,592;8,62
517,842;8,63
518,092;8,64
518,341;8,64
518,591;8,67
518,84;8,69
519,09;8,72
519,34;8,74
519,589;8,78
519,839;8,76
520,088;8,79
520,338;8,78
520,587;8,8
520,836;8,79
521,086;8,79
521,335;8,79
521,585;8,78
521,834;8,81
522,083;8,84
522,333;8,83
522,582;8,85
522,831;8,87
523,081;8,88
523,33;8,9
523,579;8,91
523,828;8,91
524,078;8,92
524,327;8,9
524,576;8,92
524,825;8,93
525,074;8,96
525,323;8,95
525,573;8,95
525,822;8,96
526,071;8,98
526,32;9
526,569;9,02
526,818;9,03
527,067;9,04
527,316;9,06
527,565;9,08
527,814;9,06
528,063;9,08
528,312;9,08
528,56;9,1
528,809;9,09
529,058;9,1
529,307;9,09
529,556;9,12
529,805;9,11
530,053;9,12
530,302;9,14
530,551;9,17
530,8;9,17
531,048;9,2
531,297;9,22
531,546;9,24
531,794;9,26
532,043;9,28
532,292;9,3
532,54;9,31
532,789;9,31
533,037;9,35
533,286;9,36
533,535;9,38
533,783;9,38
534,032;9,41
534,28;9,43
534,528;9,47
534,777;9,48
535,025;9,51
535,274;9,52
535,522;9,51
535,771;9,52
536,019;9,56
536,267;9,56
536,516;9,58
536,764;9,62
537,012;9,63
537,26;9,63
537,509;9,64
537,757;9,65
538,005;9,68
538,253;9,69
538,501;9,71
538,75;9,72
538,998;9,75
539,246;9,79
539,494;9,82
539,742;9,82
539,99;9,84
540,238;9,85
540,486;9,87
540,734;9,9
540,982;9,93
541,23;9,95
541,478;9,97
541,726;9,98
541,974;9,99
542,222;10,01
542,47;10,05
542,718;10,08
542,966;10,11
543,213;10,12
543,461;10,14
543,709;10,15
543,957;10,17
544,205;10,19
544,452;10,2
544,7;10,21
544,948;10,22
545,196;10,24
545,443;10,27
545,691;10,27
545,939;10,3
546,186;10,3
546,434;10,31
546,681;10,33
546,929;10,33
547,176;10,34
547,424;10,35
547,671;10,36
547,919;10,38
548,166;10,39
548,414;10,43
548,661;10,44
548,909;10,47
549,156;10,5
549,404;10,53
549,651;10,54
549,898;10,57
550,146;10,6
550,393;10,63
550,64;10,66
550,888;10,69
551,135;10,72
551,382;10,76
551,629;10,79
551,876;10,84
552,124;10,88
552,371;10,92
552,618;10,93
552,865;10,96
553,112;11
553,359;11,02
553,606;11,04
553,854;11,05
554,101;11,06
554,348;11,08
554,595;11,07
554,842;11,08
555,089;11,08
555,336;11,1
555,582;11,12
555,829;11,15
556,076;11,17
556,323;11,17
556,57;11,21
556,817;11,22
557,064;11,22
557,311;11,23
557,557;11,23
557,804;11,25
558,051;11,25
558,298;11,28
558,544;11,29
558,791;11,31
559,038;11,33
559,284;11,37
559,531;11,38
559,778;11,41
560,024;11,44
560,271;11,48
560,517;11,49
560,764;11,52
561,011;11,54
561,257;11,55
561,504;11,58
561,75;11,6
561,997;11,62
562,243;11,66
562,489;11,68
562,736;11,72
562,982;11,75
563,229;11,78
563,475;11,79
563,721;11,82
563,968;11,84
564,214;11,87
564,46;11,89
564,707;11,91
564,953;11,93
565,199;11,96
565,445;11,99
565,691;12,04
565,938;12,05
566,184;12,08
566,43;12,12
566,676;12,16
566,922;12,18
567,168;12,23
567,414;12,27
567,66;12,31
567,906;12,35
568,152;12,39
568,398;12,45
568,644;12,52
568,89;12,55
569,136;12,62
569,382;12,67
569,628;12,71
569,874;12,76
570,12;12,82
570,366;12,87
570,612;12,91
570,857;12,95
571,103;13,01
571,349;13,05
571,595;13,09
571,84;13,14
572,086;13,2
572,332;13,24
572,578;13,28
572,823;13,32
573,069;13,36
573,315;13,4
573,56;13,44
573,806;13,45
574,051;13,51
574,297;13,54
574,542;13,57
574,788;13,61
575,034;13,65
575,279;13,67
575,524;13,71
575,77;13,75
576,015;13,79
576,261;13,82
576,506;13,85
576,752;13,87
576,997;13,9
577,242;13,91
577,488;13,93
577,733;13,94
577,978;13,96
578,223;13,99
578,469;14,02
578,714;14,05
578,959;14,09
579,204;14,11
579,45;14,14
579,695;14,16
579,94;14,19
580,185;14,21
580,43;14,24
580,675;14,24
580,92;14,26
581,165;14,27
581,41;14,29
581,655;14,3
581,9;14,32
582,145;14,32
582,39;14,35
582,635;14,37
582,88;14,39
583,125;14,4
583,37;14,42
583,615;14,42
583,86;14,43
584,105;14,42
584,349;14,44
584,594;14,43
584,839;14,44
585,084;14,43
585,328;14,44
585,573;14,44
