Data from crisocollaWhite_Reflection__3__61.txt Node;
"Date: Fri Sep 12 12:00:30 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
464,52;9,14
464,774;9,16
465,027;9,17
465,28;9,2
465,534;9,21
465,787;9,23
466,04;9,24
466,294;9,26
466,547;9,27
466,8;9,28
467,053;9,29
467,306;9,3
467,56;9,32
467,813;9,36
468,066;9,35
468,319;9,36
468,572;9,37
468,825;9,38
469,078;9,41
469,331;9,43
469,584;9,44
469,837;9,47
470,09;9,5
470,343;9,55
470,596;9,56
470,849;9,59
471,102;9,62
471,355;9,66
471,608;9,69
471,861;9,72
472,114;9,74
472,367;9,78
472,619;9,81
472,872;9,84
473,125;9,86
473,378;9,9
473,631;9,94
473,883;9,96
474,136;10
474,389;10,05
474,641;10,07
474,894;10,1
475,147;10,12
475,399;10,15
475,652;10,17
475,905;10,22
476,157;10,24
476,41;10,26
476,662;10,3
476,915;10,34
477,167;10,37
477,42;10,41
477,672;10,44
477,925;10,49
478,177;10,53
478,43;10,58
478,682;10,62
478,934;10,65
479,187;10,69
479,439;10,73
479,691;10,76
479,944;10,8
480,196;10,85
480,448;10,89
480,701;10,92
480,953;10,96
481,205;10,99
481,457;11,03
481,709;11,1
481,962;11,16
482,214;11,25
482,466;11,36
482,718;11,5
482,97;11,65
483,222;11,76
483,474;11,88
483,726;11,96
483,978;12,04
484,23;12,09
484,482;12,15
484,734;12,19
484,986;12,21
485,238;12,23
485,49;12,27
485,742;12,29
485,994;12,32
486,246;12,34
486,498;12,36
486,75;12,37
487,001;12,39
487,253;12,37
487,505;12,36
487,757;12,33
488,009;12,29
488,26;12,24
488,512;12,18
488,764;12,12
489,015;12,07
489,267;12,03
489,519;12,01
489,77;11,99
490,022;11,99
490,274;12
490,525;12,01
490,777;12
491,028;12,02
491,28;12,04
491,531;12,04
491,783;12,05
492,034;12,08
492,286;12,1
492,537;12,14
492,789;12,15
493,04;12,18
493,291;12,19
493,543;12,21
493,794;12,24
494,045;12,25
494,297;12,28
494,548;12,29
494,799;12,3
495,051;12,33
495,302;12,34
495,553;12,36
495,804;12,37
496,056;12,41
496,307;12,41
496,558;12,43
496,809;12,46
497,06;12,49
497,311;12,51
497,562;12,53
497,813;12,55
498,064;12,58
498,316;12,6
498,567;12,62
498,818;12,63
499,069;12,66
499,319;12,68
499,57;12,7
499,821;12,72
500,072;12,76
500,323;12,77
500,574;12,8
500,825;12,82
501,076;12,84
501,327;12,83
501,577;12,86
501,828;12,87
502,079;12,88
502,33;12,9
502,58;12,91
502,831;12,93
503,082;12,95
503,333;12,97
503,583;12,99
503,834;13
504,084;13,02
504,335;13,02
504,586;13,03
504,836;13,05
505,087;13,06
505,337;13,07
505,588;13,09
505,838;13,1
506,089;13,12
506,339;13,13
506,59;13,17
506,84;13,18
507,091;13,21
507,341;13,22
507,591;13,25
507,842;13,26
508,092;13,27
508,343;13,26
508,593;13,28
508,843;13,29
509,093;13,3
509,344;13,31
509,594;13,33
509,844;13,34
510,094;13,36
510,345;13,37
510,595;13,38
510,845;13,39
511,095;13,4
511,345;13,4
511,595;13,41
511,845;13,42
512,095;13,44
512,345;13,45
512,595;13,46
512,845;13,46
513,095;13,48
513,345;13,49
513,595;13,51
513,845;13,51
514,095;13,52
514,345;13,52
514,595;13,53
514,845;13,53
515,095;13,56
515,345;13,57
515,594;13,59
515,844;13,6
516,094;13,61
516,344;13,62
516,593;13,64
516,843;13,64
517,093;13,65
517,343;13,66
517,592;13,66
517,842;13,67
518,092;13,67
518,341;13,65
518,591;13,67
518,84;13,69
519,09;13,71
519,34;13,72
519,589;13,74
519,839;13,74
520,088;13,76
520,338;13,76
520,587;13,77
520,836;13,76
521,086;13,77
521,335;13,77
521,585;13,79
521,834;13,79
522,083;13,81
522,333;13,81
522,582;13,81
522,831;13,82
523,081;13,84
523,33;13,85
523,579;13,88
523,828;13,89
524,078;13,9
524,327;13,9
524,576;13,92
524,825;13,92
525,074;13,93
525,323;13,93
525,573;13,95
525,822;13,96
526,071;13,97
526,32;13,98
526,569;13,99
526,818;14,01
527,067;14,01
527,316;14,02
527,565;14,04
527,814;14,04
528,063;14,06
528,312;14,07
528,56;14,08
528,809;14,07
529,058;14,08
529,307;14,08
529,556;14,1
529,805;14,11
530,053;14,12
530,302;14,12
530,551;14,15
530,8;14,15
531,048;14,17
531,297;14,18
531,546;14,2
531,794;14,22
532,043;14,23
532,292;14,24
532,54;14,26
532,789;14,27
533,037;14,3
533,286;14,31
533,535;14,32
533,783;14,33
534,032;14,34
534,28;14,33
534,528;14,35
534,777;14,35
535,025;14,35
535,274;14,35
535,522;14,36
535,771;14,36
536,019;14,37
536,267;14,36
536,516;14,36
536,764;14,36
537,012;14,36
537,26;14,37
537,509;14,38
537,757;14,37
538,005;14,38
538,253;14,38
538,501;14,38
538,75;14,38
538,998;14,39
539,246;14,39
539,494;14,42
539,742;14,41
539,99;14,42
540,238;14,43
540,486;14,45
540,734;14,45
540,982;14,44
541,23;14,45
541,478;14,46
541,726;14,46
541,974;14,46
542,222;14,46
542,47;14,45
542,718;14,47
542,966;14,47
543,213;14,46
543,461;14,46
543,709;14,45
543,957;14,46
544,205;14,46
544,452;14,46
544,7;14,45
544,948;14,46
545,196;14,45
545,443;14,45
545,691;14,44
545,939;14,45
546,186;14,45
546,434;14,44
546,681;14,44
546,929;14,45
547,176;14,45
547,424;14,46
547,671;14,45
547,919;14,45
548,166;14,44
548,414;14,45
548,661;14,45
548,909;14,46
549,156;14,46
549,404;14,46
549,651;14,47
549,898;14,47
550,146;14,47
550,393;14,48
550,64;14,47
550,888;14,48
551,135;14,47
551,382;14,48
551,629;14,47
551,876;14,48
552,124;14,47
552,371;14,47
552,618;14,45
552,865;14,46
553,112;14,45
553,359;14,45
553,606;14,44
553,854;14,44
554,101;14,42
554,348;14,42
554,595;14,41
554,842;14,4
555,089;14,38
555,336;14,38
555,582;14,36
555,829;14,36
556,076;14,34
556,323;14,33
556,57;14,31
556,817;14,3
557,064;14,28
557,311;14,27
557,557;14,24
557,804;14,24
558,051;14,22
558,298;14,23
558,544;14,21
558,791;14,2
559,038;14,18
559,284;14,17
559,531;14,16
559,778;14,15
560,024;14,14
560,271;14,14
560,517;14,12
560,764;14,11
561,011;14,1
561,257;14,1
561,504;14,08
561,75;14,09
561,997;14,07
562,243;14,07
562,489;14,06
562,736;14,06
562,982;14,04
563,229;14,03
563,475;14,01
563,721;14,01
563,968;13,99
564,214;13,99
564,46;13,98
564,707;13,98
564,953;13,98
565,199;13,97
565,445;13,96
565,691;13,98
565,938;13,97
566,184;13,98
566,43;13,98
566,676;13,98
566,922;13,98
567,168;13,99
567,414;14
567,66;14,03
567,906;14,04
568,152;14,06
568,398;14,08
568,644;14,11
568,89;14,12
569,136;14,13
569,382;14,13
569,628;14,14
569,874;14,14
570,12;14,15
570,366;14,15
570,612;14,16
570,857;14,16
571,103;14,17
571,349;14,16
571,595;14,18
571,84;14,18
572,086;14,19
572,332;14,18
572,578;14,18
572,823;14,17
573,069;14,15
573,315;14,14
573,56;14,12
573,806;14,11
574,051;14,1
574,297;14,09
574,542;14,1
574,788;14,09
575,034;14,1
575,279;14,09
575,524;14,09
575,77;14,07
576,015;14,06
576,261;14,04
576,506;14,03
576,752;14
576,997;13,98
577,242;13,96
577,488;13,94
577,733;13,91
577,978;13,9
578,223;13,89
578,469;13,88
578,714;13,86
578,959;13,85
579,204;13,83
579,45;13,82
579,695;13,8
579,94;13,77
580,185;13,74
580,43;13,72
580,675;13,69
580,92;13,67
581,165;13,64
581,41;13,63
581,655;13,6
581,9;13,58
582,145;13,55
582,39;13,53
582,635;13,5
582,88;13,48
583,125;13,44
583,37;13,42
583,615;13,37
583,86;13,33
584,105;13,3
584,349;13,26
584,594;13,21
584,839;13,18
585,084;13,14
585,328;13,11
585,573;13,07
585,818;13,04
586,063;13
586,307;12,96
586,552;12,92
586,797;12,89
587,041;12,85
587,286;12,82
587,53;12,78
587,775;12,73
588,019;12,69
588,264;12,65
588,508;12,6
588,753;12,56
588,997;12,52
589,242;12,47
589,486;12,43
589,731;12,39
589,975;12,35
590,22;12,31
590,464;12,26
590,708;12,24
590,953;12,19
591,197;12,17
591,441;12,14
591,685;12,12
591,93;12,08
592,174;12,07
592,418;12,03
592,662;12,01
592,907;11,98
593,151;11,96
593,395;11,93
593,639;11,92
593,883;11,89
594,127;11,87
594,371;11,83
594,615;11,8
594,859;11,77
595,103;11,73
595,347;11,69
595,591;11,66
595,835;11,61
596,079;11,59
596,323;11,55
596,567;11,51
596,811;11,48
597,055;11,44
597,299;11,39
597,542;11,37
597,786;11,33
598,03;11,31
598,274;11,26
598,518;11,25
598,761;11,22
599,005;11,19
599,249;11,16
599,492;11,14
599,736;11,11
599,98;11,09
600,223;11,06
600,467;11,04
600,711;11,01
600,954;11
601,198;10,96
601,441;10,93
601,685;10,9
601,928;10,88
602,172;10,85
602,415;10,82
602,659;10,79
602,902;10,76
603,145;10,72
603,389;10,7
603,632;10,67
603,876;10,63
604,119;10,6
604,362;10,57
604,606;10,54
604,849;10,51
605,092;10,47
605,335;10,45
605,579;10,41
