Data from crisocollaWhite_Reflection__1__59.txt Node;
"Date: Fri Sep 12 11:59:01 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
440,372;46,7
440,627;46,76
440,882;46,84
441,137;46,86
441,392;46,93
441,647;46,97
441,902;47,04
442,157;47,09
442,412;47,17
442,667;47,21
442,921;47,29
443,176;47,34
443,431;47,37
443,686;47,38
443,941;47,43
444,195;47,45
444,45;47,54
444,705;47,57
444,96;47,63
445,214;47,68
445,469;47,7
445,724;47,73
445,978;47,77
446,233;47,81
446,487;47,89
446,742;47,94
446,997;48
447,251;48,02
447,506;48,1
447,76;48,14
448,015;48,21
448,269;48,23
448,524;48,26
448,778;48,3
449,033;48,35
449,287;48,39
449,541;48,41
449,796;48,42
450,05;48,47
450,305;48,51
450,559;48,57
450,813;48,62
451,067;48,68
451,322;48,74
451,576;48,8
451,83;48,82
452,084;48,85
452,339;48,89
452,593;48,95
452,847;48,98
453,101;49,03
453,355;49,06
453,609;49,12
453,864;49,18
454,118;49,24
454,372;49,27
454,626;49,34
454,88;49,43
455,134;49,5
455,388;49,58
455,642;49,63
455,896;49,69
456,15;49,75
456,404;49,81
456,658;49,86
456,912;49,88
457,165;49,97
457,419;50
457,673;50,06
457,927;50,11
458,181;50,17
458,435;50,22
458,688;50,32
458,942;50,34
459,196;50,39
459,45;50,43
459,703;50,51
459,957;50,56
460,211;50,61
460,464;50,64
460,718;50,67
460,972;50,74
461,225;50,8
461,479;50,85
461,732;50,9
461,986;50,94
462,239;51,05
462,493;51,11
462,746;51,22
463;51,26
463,253;51,35
463,507;51,4
463,76;51,45
464,014;51,49
464,267;51,59
464,52;51,64
464,774;51,71
465,027;51,73
465,28;51,79
465,534;51,84
465,787;51,91
466,04;51,95
466,294;51,99
466,547;52,03
466,8;52,08
467,053;52,12
467,306;52,19
467,56;52,2
467,813;52,28
468,066;52,3
468,319;52,39
468,572;52,44
468,825;52,5
469,078;52,57
469,331;52,64
469,584;52,69
469,837;52,76
470,09;52,85
470,343;52,95
470,596;53,05
470,849;53,14
471,102;53,21
471,355;53,31
471,608;53,4
471,861;53,48
472,114;53,55
472,367;53,65
472,619;53,72
472,872;53,82
473,125;53,89
473,378;53,96
473,631;54,04
473,883;54,12
474,136;54,19
474,389;54,25
474,641;54,31
474,894;54,39
475,147;54,45
475,399;54,52
475,652;54,6
475,905;54,66
476,157;54,71
476,41;54,76
476,662;54,82
476,915;54,9
477,167;54,98
477,42;55,05
477,672;55,11
477,925;55,19
478,177;55,24
478,43;55,3
478,682;55,35
478,934;55,41
479,187;55,47
479,439;55,53
479,691;55,6
479,944;55,66
480,196;55,73
480,448;55,81
480,701;55,86
480,953;55,92
481,205;55,98
481,457;56,05
481,709;56,15
481,962;56,25
482,214;56,32
482,466;56,41
482,718;56,49
482,97;56,57
483,222;56,61
483,474;56,66
483,726;56,69
483,978;56,71
484,23;56,74
484,482;56,77
484,734;56,79
484,986;56,83
485,238;56,86
485,49;56,89
485,742;56,92
485,994;56,95
486,246;56,99
486,498;57,01
486,75;57,05
487,001;57,07
487,253;57,09
487,505;57,12
487,757;57,13
488,009;57,17
488,26;57,2
488,512;57,28
488,764;57,34
489,015;57,41
489,267;57,51
489,519;57,58
489,77;57,69
490,022;57,78
490,274;57,84
490,525;57,91
490,777;57,97
491,028;58,02
491,28;58,08
491,531;58,1
491,783;58,17
492,034;58,25
492,286;58,3
492,537;58,35
492,789;58,38
493,04;58,42
493,291;58,44
493,543;58,5
493,794;58,53
494,045;58,55
494,297;58,6
494,548;58,62
494,799;58,67
495,051;58,69
495,302;58,74
495,553;58,79
495,804;58,83
496,056;58,9
496,307;58,94
496,558;58,98
496,809;59,05
497,06;59,08
497,311;59,12
497,562;59,17
497,813;59,23
498,064;59,28
498,316;59,35
498,567;59,41
498,818;59,45
499,069;59,51
499,319;59,58
499,57;59,62
499,821;59,68
500,072;59,72
500,323;59,79
500,574;59,82
500,825;59,85
501,076;59,89
501,327;59,91
501,577;59,97
501,828;60,01
502,079;60,05
502,33;60,11
502,58;60,16
502,831;60,17
503,082;60,21
503,333;60,25
503,583;60,27
503,834;60,31
504,084;60,37
504,335;60,4
504,586;60,44
504,836;60,5
505,087;60,56
505,337;60,6
505,588;60,62
505,838;60,66
506,089;60,73
506,339;60,79
506,59;60,85
506,84;60,86
507,091;60,92
507,341;60,95
507,591;60,99
507,842;61,02
508,092;61,07
508,343;61,11
508,593;61,15
508,843;61,2
509,093;61,25
509,344;61,29
509,594;61,35
509,844;61,38
510,094;61,41
510,345;61,45
510,595;61,49
510,845;61,54
511,095;61,57
511,345;61,58
511,595;61,61
511,845;61,63
512,095;61,68
512,345;61,71
512,595;61,76
512,845;61,79
513,095;61,85
513,345;61,9
513,595;61,94
513,845;61,99
514,095;62,03
514,345;62,09
514,595;62,15
514,845;62,16
515,095;62,22
515,345;62,28
515,594;62,31
515,844;62,34
516,094;62,37
516,344;62,41
516,593;62,44
516,843;62,48
517,093;62,54
517,343;62,56
517,592;62,6
517,842;62,63
518,092;62,67
518,341;62,69
518,591;62,71
518,84;62,76
519,09;62,78
519,34;62,85
519,589;62,86
519,839;62,87
520,088;62,92
520,338;62,97
520,587;63
520,836;63,04
521,086;63,09
521,335;63,14
521,585;63,17
521,834;63,22
522,083;63,28
522,333;63,31
522,582;63,36
522,831;63,4
523,081;63,44
523,33;63,47
523,579;63,5
523,828;63,55
524,078;63,58
524,327;63,59
524,576;63,6
524,825;63,65
525,074;63,7
525,323;63,71
525,573;63,72
525,822;63,76
526,071;63,78
526,32;63,82
526,569;63,84
526,818;63,88
527,067;63,9
527,316;63,91
527,565;63,93
527,814;63,94
528,063;63,96
528,312;64
528,56;64,01
528,809;64,02
529,058;64,04
529,307;64,06
529,556;64,09
529,805;64,12
530,053;64,15
530,302;64,15
530,551;64,16
530,8;64,18
531,048;64,19
531,297;64,21
531,546;64,23
531,794;64,25
532,043;64,27
532,292;64,3
532,54;64,33
532,789;64,36
533,037;64,4
533,286;64,42
533,535;64,45
533,783;64,47
534,032;64,49
534,28;64,51
534,528;64,52
534,777;64,54
535,025;64,55
535,274;64,57
535,522;64,59
535,771;64,62
536,019;64,64
536,267;64,66
536,516;64,7
536,764;64,71
537,012;64,74
537,26;64,74
537,509;64,77
537,757;64,77
538,005;64,8
538,253;64,82
538,501;64,84
538,75;64,85
538,998;64,88
539,246;64,9
539,494;64,93
539,742;64,95
539,99;64,97
540,238;65
540,486;65,01
540,734;65,02
540,982;65,02
541,23;65,04
541,478;65,06
541,726;65,06
541,974;65,07
542,222;65,07
542,47;65,09
542,718;65,09
542,966;65,11
543,213;65,12
543,461;65,12
543,709;65,12
543,957;65,13
544,205;65,15
544,452;65,15
544,7;65,15
544,948;65,15
545,196;65,16
545,443;65,15
545,691;65,15
545,939;65,18
546,186;65,21
546,434;65,2
546,681;65,2
546,929;65,22
547,176;65,23
547,424;65,24
547,671;65,26
547,919;65,27
548,166;65,28
548,414;65,28
548,661;65,29
548,909;65,3
549,156;65,33
549,404;65,32
549,651;65,33
549,898;65,34
550,146;65,37
550,393;65,39
550,64;65,41
550,888;65,43
551,135;65,44
551,382;65,45
551,629;65,47
551,876;65,48
552,124;65,47
552,371;65,48
552,618;65,48
552,865;65,47
553,112;65,46
553,359;65,47
553,606;65,44
553,854;65,44
554,101;65,47
554,348;65,44
554,595;65,44
554,842;65,45
555,089;65,47
555,336;65,48
555,582;65,48
555,829;65,48
556,076;65,5
556,323;65,5
556,57;65,49
556,817;65,51
557,064;65,52
557,311;65,54
557,557;65,54
557,804;65,56
558,051;65,55
558,298;65,58
558,544;65,59
558,791;65,6
559,038;65,61
559,284;65,6
559,531;65,62
559,778;65,62
560,024;65,62
560,271;65,62
560,517;65,61
560,764;65,62
561,011;65,62
561,257;65,59
561,504;65,58
561,75;65,58
561,997;65,58
562,243;65,57
562,489;65,57
562,736;65,58
562,982;65,58
563,229;65,58
563,475;65,58
563,721;65,58
563,968;65,59
564,214;65,59
564,46;65,57
564,707;65,58
564,953;65,59
565,199;65,57
565,445;65,55
565,691;65,54
565,938;65,5
566,184;65,5
566,43;65,48
566,676;65,47
566,922;65,44
567,168;65,41
567,414;65,37
567,66;65,34
567,906;65,31
568,152;65,27
568,398;65,23
568,644;65,18
568,89;65,11
569,136;65,07
569,382;65,02
569,628;64,98
569,874;64,92
570,12;64,89
570,366;64,87
570,612;64,83
570,857;64,79
