Data from crisocollaWhite_Reflection__2__60.txt Node;
"Date: Fri Sep 12 11:59:42 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
464,774;33,37
465,027;33,4
465,28;33,47
465,534;33,54
465,787;33,63
466,04;33,68
466,294;33,71
466,547;33,74
466,8;33,78
467,053;33,82
467,306;33,89
467,56;33,94
467,813;33,99
468,066;34,01
468,319;34,08
468,572;34,11
468,825;34,19
469,078;34,23
469,331;34,29
469,584;34,34
469,837;34,42
470,09;34,48
470,343;34,57
470,596;34,64
470,849;34,71
471,102;34,76
471,355;34,84
471,608;34,92
471,861;35,03
472,114;35,1
472,367;35,17
472,619;35,22
472,872;35,31
473,125;35,37
473,378;35,43
473,631;35,51
473,883;35,57
474,136;35,63
474,389;35,72
474,641;35,79
474,894;35,87
475,147;35,93
475,399;36,01
475,652;36,09
475,905;36,17
476,157;36,21
476,41;36,31
476,662;36,38
476,915;36,46
477,167;36,51
477,42;36,59
477,672;36,64
477,925;36,74
478,177;36,78
478,43;36,84
478,682;36,89
478,934;36,95
479,187;37,02
479,439;37,08
479,691;37,13
479,944;37,19
480,196;37,25
480,448;37,31
480,701;37,37
480,953;37,44
481,205;37,51
481,457;37,59
481,709;37,65
481,962;37,74
482,214;37,83
482,466;37,95
482,718;38,04
482,97;38,17
483,222;38,26
483,474;38,37
483,726;38,43
483,978;38,5
484,23;38,56
484,482;38,62
484,734;38,67
484,986;38,72
485,238;38,75
485,49;38,78
485,742;38,82
485,994;38,86
486,246;38,88
486,498;38,9
486,75;38,92
487,001;38,95
487,253;38,97
487,505;38,98
487,757;38,99
488,009;39,02
488,26;39,01
488,512;39
488,764;39,01
489,015;39,04
489,267;39,06
489,519;39,1
489,77;39,13
490,022;39,17
490,274;39,2
490,525;39,26
490,777;39,3
491,028;39,34
491,28;39,37
491,531;39,41
491,783;39,45
492,034;39,49
492,286;39,53
492,537;39,57
492,789;39,61
493,04;39,66
493,291;39,68
493,543;39,73
493,794;39,78
494,045;39,82
494,297;39,86
494,548;39,9
494,799;39,95
495,051;39,99
495,302;40,01
495,553;40,08
495,804;40,1
496,056;40,16
496,307;40,21
496,558;40,26
496,809;40,31
497,06;40,36
497,311;40,41
497,562;40,45
497,813;40,51
498,064;40,55
498,316;40,58
498,567;40,62
498,818;40,67
499,069;40,72
499,319;40,77
499,57;40,82
499,821;40,86
500,072;40,87
500,323;40,92
500,574;40,96
500,825;40,99
501,076;41,04
501,327;41,05
501,577;41,09
501,828;41,12
502,079;41,14
502,33;41,17
502,58;41,21
502,831;41,24
503,082;41,25
503,333;41,28
503,583;41,32
503,834;41,35
504,084;41,39
504,335;41,41
504,586;41,44
504,836;41,45
505,087;41,49
505,337;41,53
505,588;41,56
505,838;41,59
506,089;41,64
506,339;41,67
506,59;41,73
506,84;41,74
507,091;41,8
507,341;41,83
507,591;41,86
507,842;41,88
508,092;41,91
508,343;41,95
508,593;41,99
508,843;42,01
509,093;42,05
509,344;42,08
509,594;42,13
509,844;42,15
510,094;42,19
510,345;42,24
510,595;42,28
510,845;42,3
511,095;42,34
511,345;42,37
511,595;42,39
511,845;42,41
512,095;42,45
512,345;42,46
512,595;42,5
512,845;42,53
513,095;42,58
513,345;42,61
513,595;42,64
513,845;42,68
514,095;42,72
514,345;42,74
514,595;42,77
514,845;42,79
515,095;42,84
515,345;42,87
515,594;42,9
515,844;42,93
516,094;42,96
516,344;42,97
516,593;42,99
516,843;43,04
517,093;43,08
517,343;43,09
517,592;43,13
517,842;43,18
518,092;43,2
518,341;43,2
518,591;43,22
518,84;43,26
519,09;43,29
519,34;43,32
519,589;43,36
519,839;43,39
520,088;43,41
520,338;43,44
520,587;43,48
520,836;43,5
521,086;43,54
521,335;43,56
521,585;43,58
521,834;43,62
522,083;43,64
522,333;43,66
522,582;43,72
