Data from TV_VeronaWhite_Reflection__0__13.txt Node;
"Date: Thu Sep 11 15:40:28 CEST 2025 User: sycur";
611,41;70,65
611,653;70,64
611,896;70,66
612,139;70,66
612,381;70,66
612,624;70,67
612,867;70,67
613,109;70,66
613,352;70,67
613,595;70,65
613,837;70,66
614,08;70,65
614,322;70,64
614,565;70,65
614,807;70,65
615,05;70,66
615,292;70,69
615,535;70,68
615,777;70,68
616,02;70,69
616,262;70,67
616,505;70,67
616,747;70,66
616,989;70,67
617,232;70,67
617,474;70,67
617,716;70,67
617,959;70,67
618,201;70,69
618,443;70,7
618,685;70,7
618,927;70,71
619,17;70,72
619,412;70,72
619,654;70,72
619,896;70,73
620,138;70,73
620,38;70,72
620,622;70,74
620,864;70,75
621,107;70,73
621,349;70,72
621,591;70,74
621,833;70,76
622,075;70,76
622,316;70,75
622,558;70,76
622,8;70,77
623,042;70,79
623,284;70,79
623,526;70,81
623,768;70,83
624,01;70,85
624,251;70,87
624,493;70,88
624,735;70,89
624,977;70,88
625,218;70,88
625,46;70,91
625,702;70,9
