Data from TV_VeronaWhite_Reflection__1__14.txt Node;
"Date: Thu Sep 11 15:41:41 CEST 2025 User: sycur";
485,49;7,59
485,742;7,62
485,994;7,64
486,246;7,66
486,498;7,68
486,75;7,7
487,001;7,72
487,253;7,74
487,505;7,76
487,757;7,76
488,009;7,76
488,26;7,74
488,512;7,72
488,764;7,7
489,015;7,67
489,267;7,64
489,519;7,63
489,77;7,62
490,022;7,63
490,274;7,63
490,525;7,65
490,777;7,65
491,028;7,67
491,28;7,69
491,531;7,71
491,783;7,72
492,034;7,75
492,286;7,76
492,537;7,78
492,789;7,82
493,04;7,85
493,291;7,87
493,543;7,91
493,794;7,94
494,045;7,96
494,297;7,99
494,548;8,02
494,799;8,05
495,051;8,09
495,302;8,11
495,553;8,14
495,804;8,17
496,056;8,19
496,307;8,21
496,558;8,24
496,809;8,27
497,06;8,31
497,311;8,33
497,562;8,36
497,813;8,39
498,064;8,41
498,316;8,44
498,567;8,47
498,818;8,48
499,069;8,52
499,319;8,54
499,57;8,57
499,821;8,59
500,072;8,62
500,323;8,65
500,574;8,69
500,825;8,71
501,076;8,75
501,327;8,79
501,577;8,83
501,828;8,86
502,079;8,89
502,33;8,91
502,58;8,95
502,831;8,97
503,082;9,01
503,333;9,04
503,583;9,07
503,834;9,11
504,084;9,13
504,335;9,15
504,586;9,18
504,836;9,21
505,087;9,25
505,337;9,28
505,588;9,3
505,838;9,33
506,089;9,38
506,339;9,41
506,59;9,43
506,84;9,46
507,091;9,49
507,341;9,51
507,591;9,55
507,842;9,57
508,092;9,61
508,343;9,62
508,593;9,65
508,843;9,67
509,093;9,7
509,344;9,73
509,594;9,76
509,844;9,79
510,094;9,83
510,345;9,85
510,595;9,89
510,845;9,91
511,095;9,94
511,345;9,97
511,595;10
511,845;10,02
512,095;10,04
512,345;10,06
512,595;10,09
512,845;10,12
513,095;10,16
513,345;10,19
513,595;10,24
513,845;10,26
514,095;10,3
514,345;10,32
514,595;10,37
514,845;10,4
515,095;10,44
515,345;10,46
515,594;10,5
515,844;10,52
516,094;10,57
516,344;10,6
516,593;10,62
516,843;10,65
517,093;10,69
517,343;10,73
517,592;10,77
517,842;10,81
518,092;10,85
518,341;10,87
518,591;10,91
518,84;10,94
519,09;10,97
519,34;11,01
519,589;11,04
519,839;11,06
520,088;11,1
520,338;11,12
520,587;11,16
520,836;11,18
521,086;11,21
521,335;11,23
521,585;11,26
521,834;11,29
522,083;11,33
522,333;11,37
522,582;11,4
522,831;11,44
523,081;11,48
523,33;11,52
523,579;11,55
523,828;11,59
524,078;11,62
524,327;11,65
524,576;11,69
524,825;11,72
525,074;11,75
525,323;11,77
525,573;11,81
525,822;11,84
526,071;11,88
526,32;11,92
526,569;11,96
526,818;11,99
527,067;12,03
527,316;12,06
527,565;12,08
527,814;12,1
528,063;12,13
528,312;12,15
528,56;12,17
528,809;12,19
529,058;12,21
529,307;12,23
529,556;12,26
529,805;12,29
530,053;12,32
530,302;12,35
530,551;12,39
530,8;12,42
531,048;12,45
531,297;12,47
531,546;12,5
531,794;12,53
532,043;12,56
532,292;12,59
532,54;12,62
532,789;12,65
533,037;12,7
533,286;12,72
533,535;12,75
533,783;12,78
534,032;12,82
534,28;12,85
534,528;12,89
534,777;12,91
535,025;12,94
535,274;12,97
535,522;12,99
535,771;13,02
536,019;13,05
536,267;13,07
536,516;13,11
536,764;13,14
537,012;13,16
537,26;13,19
537,509;13,21
537,757;13,24
538,005;13,26
538,253;13,28
538,501;13,31
538,75;13,33
538,998;13,36
539,246;13,38
539,494;13,4
539,742;13,42
539,99;13,45
540,238;13,46
540,486;13,5
540,734;13,52
540,982;13,55
541,23;13,57
