Data from TV_VeronaWhite_Reflection__3__16.txt Node;
"Date: Thu Sep 11 15:50:24 CEST 2025 User: sycur";
397,805;6,6
398,062;6,61
398,32;6,64
398,578;6,66
398,836;6,7
399,094;6,72
399,351;6,74
399,609;6,77
399,867;6,76
400,124;6,79
400,382;6,81
400,64;6,82
400,897;6,84
401,155;6,84
401,413;6,87
401,67;6,88
401,928;6,9
402,185;6,91
402,443;6,94
402,701;6,95
402,958;6,97
403,216;6,98
403,473;6,99
403,73;6,99
403,988;6,99
404,245;6,98
404,503;7,01
404,76;7,03
405,018;7,03
405,275;7,06
405,532;7,06
405,79;7,07
406,047;7,06
406,304;7,08
406,561;7,08
406,819;7,08
407,076;7,09
407,333;7,09
407,59;7,09
407,848;7,1
408,105;7,12
408,362;7,14
408,619;7,16
408,876;7,16
409,133;7,17
409,39;7,2
409,647;7,23
409,904;7,23
410,161;7,24
410,418;7,28
410,675;7,3
410,932;7,32
411,189;7,34
411,446;7,35
411,703;7,38
411,96;7,42
412,217;7,44
412,474;7,47
412,731;7,49
412,988;7,51
413,245;7,55
413,501;7,55
413,758;7,55
414,015;7,57
414,272;7,6
414,529;7,63
414,785;7,61
415,042;7,61
415,299;7,63
415,555;7,64
415,812;7,64
416,069;7,67
416,325;7,68
416,582;7,67
416,838;7,7
417,095;7,7
417,352;7,69
417,608;7,72
417,865;7,73
418,121;7,76
418,378;7,78
418,634;7,78
418,891;7,82
419,147;7,84
419,403;7,87
419,66;7,89
419,916;7,91
420,173;7,94
420,429;7,98
420,685;8,01
420,942;8,06
421,198;8,08
421,454;8,1
421,711;8,14
421,967;8,18
422,223;8,2
422,479;8,22
422,735;8,27
422,992;8,29
423,248;8,31
423,504;8,33
423,76;8,35
424,016;8,39
424,272;8,41
424,528;8,43
424,784;8,43
425,041;8,45
425,297;8,48
425,553;8,52
425,809;8,53
426,065;8,56
426,32;8,58
426,576;8,61
426,832;8,62
427,088;8,64
427,344;8,67
427,6;8,7
427,856;8,75
428,112;8,77
428,368;8,79
428,623;8,83
428,879;8,86
429,135;8,86
429,391;8,87
429,646;8,89
429,902;8,92
430,158;8,95
430,414;8,97
430,669;8,99
430,925;9,02
431,181;9,05
431,436;9,07
431,692;9,08
431,947;9,13
432,203;9,17
432,458;9,2
432,714;9,24
432,97;9,27
433,225;9,29
433,481;9,32
433,736;9,35
433,991;9,39
434,247;9,41
