Data from TV_VeronaWhite_Reflection__2__15.txt Node;
"Date: Thu Sep 11 15:49:26 CEST 2025 User: sycur";
415,555;4,12
415,812;4,11
416,069;4,11
416,325;4,11
416,582;4,09
416,838;4,11
417,095;4,1
417,352;4,1
417,608;4,11
417,865;4,11
418,121;4,13
418,378;4,14
418,634;4,15
418,891;4,16
419,147;4,16
419,403;4,17
419,66;4,19
419,916;4,21
420,173;4,23
420,429;4,25
420,685;4,27
420,942;4,29
421,198;4,31
421,454;4,31
421,711;4,33
421,967;4,36
422,223;4,38
422,479;4,4
422,735;4,42
422,992;4,43
423,248;4,44
423,504;4,44
423,76;4,44
424,016;4,46
424,272;4,47
424,528;4,48
424,784;4,5
425,041;4,5
425,297;4,5
425,553;4,51
425,809;4,52
426,065;4,53
426,32;4,54
426,576;4,57
426,832;4,57
427,088;4,56
427,344;4,57
427,6;4,57
427,856;4,58
428,112;4,59
428,368;4,61
428,623;4,62
428,879;4,65
429,135;4,65
429,391;4,67
429,646;4,69
429,902;4,68
430,158;4,7
430,414;4,71
430,669;4,72
430,925;4,75
431,181;4,76
431,436;4,78
431,692;4,78
431,947;4,79
432,203;4,81
432,458;4,84
432,714;4,86
432,97;4,86
433,225;4,87
433,481;4,89
433,736;4,91
433,991;4,92
434,247;4,92
434,502;4,94
434,758;4,95
435,013;4,95
435,268;4,99
435,524;5,01
435,779;5,05
436,034;5,06
436,29;5,05
436,545;5,08
436,8;5,09
437,056;5,12
437,311;5,13
437,566;5,15
437,821;5,16
438,076;5,18
438,331;5,21
438,587;5,21
438,842;5,22
439,097;5,24
439,352;5,27
439,607;5,29
439,862;5,31
440,117;5,33
440,372;5,36
440,627;5,35
440,882;5,36
441,137;5,37
441,392;5,41
441,647;5,43
441,902;5,44
442,157;5,46
442,412;5,48
442,667;5,5
442,921;5,51
443,176;5,53
443,431;5,54
443,686;5,56
443,941;5,59
444,195;5,6
444,45;5,63
444,705;5,64
444,96;5,65
445,214;5,67
445,469;5,69
445,724;5,7
445,978;5,74
446,233;5,75
446,487;5,75
446,742;5,75
446,997;5,77
447,251;5,77
447,506;5,79
447,76;5,78
448,015;5,79
448,269;5,8
448,524;5,82
448,778;5,84
449,033;5,85
449,287;5,87
449,541;5,88
449,796;5,9
450,05;5,9
450,305;5,92
450,559;5,93
450,813;5,94
451,067;5,96
451,322;5,97
451,576;5,99
451,83;6,02
452,084;6,04
452,339;6,06
452,593;6,08
452,847;6,09
453,101;6,11
453,355;6,14
453,609;6,16
453,864;6,16
454,118;6,17
454,372;6,17
454,626;6,19
454,88;6,21
455,134;6,21
455,388;6,23
455,642;6,24
455,896;6,27
456,15;6,28
456,404;6,31
456,658;6,32
456,912;6,34
457,165;6,36
457,419;6,38
457,673;6,4
457,927;6,42
458,181;6,46
458,435;6,48
458,688;6,51
458,942;6,52
459,196;6,54
459,45;6,55
459,703;6,59
459,957;6,61
460,211;6,62
460,464;6,63
460,718;6,65
460,972;6,68
461,225;6,69
461,479;6,71
461,732;6,73
461,986;6,74
462,239;6,76
462,493;6,78
462,746;6,79
463;6,81
463,253;6,85
463,507;6,85
463,76;6,87
464,014;6,88
464,267;6,9
464,52;6,94
464,774;6,97
465,027;6,96
465,28;6,98
465,534;7
465,787;7,02
466,04;7,04
466,294;7,07
466,547;7,06
466,8;7,08
467,053;7,08
467,306;7,1
467,56;7,09
467,813;7,11
468,066;7,13
468,319;7,14
468,572;7,13
468,825;7,14
469,078;7,16
469,331;7,2
469,584;7,21
469,837;7,23
470,09;7,25
470,343;7,28
470,596;7,31
470,849;7,34
471,102;7,37
471,355;7,39
471,608;7,4
471,861;7,44
472,114;7,47
472,367;7,5
472,619;7,53
472,872;7,57
473,125;7,59
473,378;7,6
473,631;7,63
473,883;7,67
474,136;7,7
474,389;7,72
474,641;7,73
474,894;7,75
475,147;7,76
475,399;7,79
475,652;7,81
475,905;7,83
476,157;7,85
476,41;7,88
476,662;7,9
476,915;7,94
477,167;7,95
477,42;7,99
477,672;8,01
477,925;8,04
478,177;8,06
478,43;8,09
478,682;8,12
478,934;8,14
479,187;8,16
479,439;8,18
479,691;8,22
479,944;8,25
480,196;8,28
480,448;8,3
480,701;8,32
480,953;8,35
481,205;8,38
481,457;8,41
481,709;8,44
481,962;8,49
482,214;8,53
482,466;8,61
482,718;8,68
482,97;8,78
483,222;8,88
483,474;8,97
483,726;9,06
483,978;9,14
484,23;9,2
484,482;9,25
484,734;9,29
484,986;9,32
485,238;9,34
485,49;9,38
485,742;9,41
485,994;9,44
486,246;9,46
486,498;9,48
486,75;9,5
487,001;9,52
487,253;9,53
487,505;9,54
487,757;9,53
488,009;9,52
488,26;9,5
488,512;9,47
488,764;9,43
489,015;9,41
489,267;9,37
489,519;9,35
489,77;9,33
490,022;9,34
490,274;9,34
490,525;9,36
490,777;9,35
491,028;9,38
491,28;9,38
491,531;9,4
491,783;9,41
492,034;9,43
492,286;9,43
492,537;9,45
492,789;9,47
493,04;9,49
493,291;9,5
493,543;9,53
493,794;9,56
494,045;9,58
494,297;9,6
494,548;9,62
494,799;9,64
495,051;9,67
495,302;9,7
495,553;9,71
495,804;9,73
496,056;9,76
496,307;9,78
496,558;9,81
496,809;9,84
497,06;9,87
497,311;9,89
497,562;9,93
497,813;9,96
498,064;9,99
498,316;10,02
498,567;10,04
498,818;10,06
499,069;10,1
499,319;10,12
499,57;10,14
499,821;10,16
500,072;10,2
500,323;10,24
500,574;10,27
500,825;10,3
501,076;10,33
501,327;10,35
501,577;10,39
501,828;10,42
502,079;10,44
502,33;10,45
502,58;10,49
502,831;10,51
503,082;10,56
503,333;10,59
503,583;10,63
503,834;10,66
504,084;10,7
504,335;10,71
504,586;10,75
504,836;10,78
505,087;10,81
505,337;10,83
505,588;10,85
505,838;10,87
506,089;10,91
506,339;10,94
506,59;10,97
506,84;10,99
507,091;11,01
507,341;11,03
507,591;11,07
507,842;11,1
508,092;11,13
508,343;11,14
508,593;11,17
508,843;11,18
509,093;11,22
509,344;11,23
509,594;11,26
509,844;11,28
510,094;11,31
510,345;11,33
510,595;11,37
510,845;11,39
511,095;11,43
511,345;11,44
511,595;11,48
511,845;11,5
512,095;11,53
512,345;11,55
512,595;11,58
512,845;11,61
513,095;11,64
513,345;11,67
513,595;11,7
513,845;11,71
514,095;11,75
514,345;11,76
514,595;11,8
514,845;11,83
515,095;11,86
515,345;11,88
515,594;11,91
515,844;11,93
516,094;11,97
516,344;12
516,593;12,03
516,843;12,05
517,093;12,09
517,343;12,12
517,592;12,17
517,842;12,2
518,092;12,24
518,341;12,28
518,591;12,31
518,84;12,34
519,09;12,38
519,34;12,4
519,589;12,44
519,839;12,46
520,088;12,5
520,338;12,53
520,587;12,56
520,836;12,58
521,086;12,6
521,335;12,63
521,585;12,66
521,834;12,67
522,083;12,7
522,333;12,73
522,582;12,76
522,831;12,77
523,081;12,8
523,33;12,82
523,579;12,85
523,828;12,88
524,078;12,91
524,327;12,93
524,576;12,98
524,825;13
525,074;13,04
525,323;13,05
525,573;13,09
525,822;13,12
526,071;13,17
526,32;13,21
526,569;13,25
526,818;13,27
527,067;13,31
527,316;13,33
527,565;13,35
527,814;13,37
528,063;13,41
528,312;13,43
528,56;13,46
528,809;13,47
529,058;13,5
529,307;13,52
529,556;13,55
529,805;13,56
530,053;13,59
530,302;13,62
530,551;13,66
530,8;13,68
531,048;13,71
531,297;13,73
531,546;13,75
531,794;13,77
532,043;13,8
532,292;13,84
532,54;13,88
532,789;13,91
533,037;13,95
533,286;13,97
533,535;14
533,783;14,02
534,032;14,06
534,28;14,09
534,528;14,12
534,777;14,14
535,025;14,18
535,274;14,2
535,522;14,22
535,771;14,24
536,019;14,26
536,267;14,28
536,516;14,31
536,764;14,34
537,012;14,36
537,26;14,38
537,509;14,4
537,757;14,41
538,005;14,43
538,253;14,45
538,501;14,48
538,75;14,5
538,998;14,52
539,246;14,55
539,494;14,56
539,742;14,57
539,99;14,59
540,238;14,6
540,486;14,64
540,734;14,65
540,982;14,68
541,23;14,71
541,478;14,73
541,726;14,75
541,974;14,78
542,222;14,8
542,47;14,83
542,718;14,84
542,966;14,87
543,213;14,88
543,461;14,9
543,709;14,91
543,957;14,93
544,205;14,94
544,452;14,97
544,7;14,98
544,948;15,01
545,196;15,02
545,443;15,05
545,691;15,06
545,939;15,08
546,186;15,09
546,434;15,1
546,681;15,12
546,929;15,13
547,176;15,13
547,424;15,14
547,671;15,15
547,919;15,17
548,166;15,19
548,414;15,22
548,661;15,23
548,909;15,25
549,156;15,28
549,404;15,3
549,651;15,31
549,898;15,34
550,146;15,35
550,393;15,37
550,64;15,39
550,888;15,41
551,135;15,43
551,382;15,46
551,629;15,46
551,876;15,48
552,124;15,5
552,371;15,52
552,618;15,53
552,865;15,55
553,112;15,57
553,359;15,59
553,606;15,6
553,854;15,62
554,101;15,64
554,348;15,65
554,595;15,66
554,842;15,68
555,089;15,68
555,336;15,7
555,582;15,71
555,829;15,71
556,076;15,71
556,323;15,73
556,57;15,74
556,817;15,75
557,064;15,76
557,311;15,77
557,557;15,77
557,804;15,79
558,051;15,8
558,298;15,82
558,544;15,82
558,791;15,83
559,038;15,84
559,284;15,85
559,531;15,84
559,778;15,86
560,024;15,86
560,271;15,88
560,517;15,88
560,764;15,89
561,011;15,9
561,257;15,92
561,504;15,92
561,75;15,93
561,997;15,95
562,243;15,97
562,489;15,97
562,736;15,98
562,982;15,98
563,229;15,99
563,475;15,99
563,721;16
563,968;16
564,214;16,01
564,46;16,01
564,707;16,04
564,953;16,04
565,199;16,05
565,445;16,07
565,691;16,08
565,938;16,09
566,184;16,11
566,43;16,12
566,676;16,14
566,922;16,15
567,168;16,17
567,414;16,19
567,66;16,22
567,906;16,24
568,152;16,26
568,398;16,28
568,644;16,31
568,89;16,32
569,136;16,36
569,382;16,38
569,628;16,4
569,874;16,41
570,12;16,43
570,366;16,46
570,612;16,48
570,857;16,49
571,103;16,51
571,349;16,54
571,595;16,56
571,84;16,58
572,086;16,6
572,332;16,62
572,578;16,63
572,823;16,64
573,069;16,65
573,315;16,66
573,56;16,68
573,806;16,68
574,051;16,69
574,297;16,7
574,542;16,71
574,788;16,72
575,034;16,73
575,279;16,74
575,524;16,76
575,77;16,77
576,015;16,78
576,261;16,79
576,506;16,79
576,752;16,78
576,997;16,79
577,242;16,79
577,488;16,79
577,733;16,79
577,978;16,79
578,223;16,79
578,469;16,8
578,714;16,81
578,959;16,82
579,204;16,83
579,45;16,84
579,695;16,85
579,94;16,86
580,185;16,87
580,43;16,87
580,675;16,87
580,92;16,86
581,165;16,85
581,41;16,85
581,655;16,84
581,9;16,84
582,145;16,84
582,39;16,84
582,635;16,84
582,88;16,86
583,125;16,85
583,37;16,86
583,615;16,85
583,86;16,85
584,105;16,84
584,349;16,84
584,594;16,82
584,839;16,82
585,084;16,8
585,328;16,8
585,573;16,78
585,818;16,77
586,063;16,77
586,307;16,77
586,552;16,77
586,797;16,76
587,041;16,76
587,286;16,76
587,53;16,74
587,775;16,73
588,019;16,71
588,264;16,71
588,508;16,69
588,753;16,68
588,997;16,66
589,242;16,65
589,486;16,63
589,731;16,63
589,975;16,62
590,22;16,62
590,464;16,61
590,708;16,62
590,953;16,61
591,197;16,61
591,441;16,61
591,685;16,62
591,93;16,62
592,174;16,62
592,418;16,62
592,662;16,63
592,907;16,63
593,151;16,64
593,395;16,63
593,639;16,64
593,883;16,63
594,127;16,64
594,371;16,64
594,615;16,64
594,859;16,63
595,103;16,62
595,347;16,61
595,591;16,6
595,835;16,59
596,079;16,59
596,323;16,58
596,567;16,58
596,811;16,57
597,055;16,58
597,299;16,57
597,542;16,57
597,786;16,56
598,03;16,56
598,274;16,56
598,518;16,57
598,761;16,57
599,005;16,57
599,249;16,58
599,492;16,59
599,736;16,59
599,98;16,6
600,223;16,6
600,467;16,61
600,711;16,61
600,954;16,62
601,198;16,62
601,441;16,62
601,685;16,62
601,928;16,62
602,172;16,61
602,415;16,61
602,659;16,6
602,902;16,6
603,145;16,58
603,389;16,58
603,632;16,58
603,876;16,57
604,119;16,57
604,362;16,57
604,606;16,55
604,849;16,55
605,092;16,54
605,335;16,54
605,579;16,53
605,822;16,53
606,065;16,52
606,308;16,51
606,551;16,51
606,794;16,5
607,037;16,49
607,281;16,49
607,524;16,48
607,767;16,48
608,01;16,47
608,253;16,48
608,496;16,47
608,739;16,47
608,982;16,47
609,225;16,46
609,468;16,45
609,711;16,45
609,953;16,44
610,196;16,44
610,439;16,44
610,682;16,44
610,925;16,43
611,168;16,44
611,41;16,43
611,653;16,44
611,896;16,43
612,139;16,43
612,381;16,42
612,624;16,43
612,867;16,42
613,109;16,42
613,352;16,42
613,595;16,42
613,837;16,41
614,08;16,4
614,322;16,4
614,565;16,39
614,807;16,39
615,05;16,39
615,292;16,38
615,535;16,38
615,777;16,38
616,02;16,38
616,262;16,36
616,505;16,36
616,747;16,35
616,989;16,36
617,232;16,35
617,474;16,36
617,716;16,36
617,959;16,35
618,201;16,35
618,443;16,34
618,685;16,33
618,927;16,34
619,17;16,33
619,412;16,33
619,654;16,33
619,896;16,33
620,138;16,33
620,38;16,33
620,622;16,33
620,864;16,34
621,107;16,34
621,349;16,35
621,591;16,35
621,833;16,36
622,075;16,36
622,316;16,37
622,558;16,37
622,8;16,37
623,042;16,38
623,284;16,39
623,526;16,4
623,768;16,42
624,01;16,41
624,251;16,43
624,493;16,42
624,735;16,43
624,977;16,43
625,218;16,43
625,46;16,43
625,702;16,43
625,943;16,43
626,185;16,43
626,427;16,43
626,668;16,42
626,91;16,42
627,152;16,41
