Data from BiaccaWhite_Reflection__3__49.txt Node;
"Date: Thu Sep 11 17:07:23 CEST 2025 User: sycur";
613,352;79,68
613,595;79,67
613,837;79,67
614,08;79,67
614,322;79,65
614,565;79,65
614,807;79,67
615,05;79,67
615,292;79,69
615,535;79,69
615,777;79,68
616,02;79,67
616,262;79,64
616,505;79,63
616,747;79,62
616,989;79,62
617,232;79,61
617,474;79,6
617,716;79,59
617,959;79,59
618,201;79,61
618,443;79,6
618,685;79,6
618,927;79,61
619,17;79,6
619,412;79,6
619,654;79,61
619,896;79,61
620,138;79,62
620,38;79,61
620,622;79,62
620,864;79,62
621,107;79,64
621,349;79,64
621,591;79,66
621,833;79,67
622,075;79,68
622,316;79,67
622,558;79,69
622,8;79,7
623,042;79,7
623,284;79,71
623,526;79,72
623,768;79,75
624,01;79,75
624,251;79,76
624,493;79,77
624,735;79,77
624,977;79,79
625,218;79,78
625,46;79,79
625,702;79,79
625,943;79,81
