Data from bluEgizioWhite_Reflection__0__23.txt Node;
Date: Fri Sep 12 11:01:59 CEST 2025;
500,072;94,71
500,323;94,64
500,574;94,55
500,825;94,44
501,076;94,36
501,327;94,25
501,577;94,19
501,828;94,11
502,079;94,03
502,33;93,95
502,58;93,88
502,831;93,78
503,082;93,68
503,333;93,62
503,583;93,54
503,834;93,47
504,084;93,36
504,335;93,28
504,586;93,19
504,836;93,15
505,087;93,07
505,337;92,99
505,588;92,89
505,838;92,82
506,089;92,75
506,339;92,68
506,59;92,59
506,84;92,49
507,091;92,43
507,341;92,35
507,591;92,27
507,842;92,16
508,092;92,07
508,343;91,96
508,593;91,87
508,843;91,78
509,093;91,68
509,344;91,63
509,594;91,54
509,844;91,47
510,094;91,36
510,345;91,26
510,595;91,19
510,845;91,1
511,095;91,01
511,345;90,94
511,595;90,83
511,845;90,75
512,095;90,67
512,345;90,59
512,595;90,52
512,845;90,43
513,095;90,39
513,345;90,34
513,595;90,27
513,845;90,21
514,095;90,14
514,345;90,08
514,595;90
514,845;89,92
515,095;89,87
515,345;89,81
515,594;89,73
515,844;89,63
516,094;89,56
516,344;89,48
516,593;89,38
516,843;89,31
517,093;89,23
517,343;89,17
517,592;89,06
517,842;88,97
518,092;88,89
518,341;88,78
518,591;88,7
518,84;88,63
519,09;88,55
519,34;88,48
519,589;88,41
519,839;88,32
520,088;88,26
520,338;88,16
520,587;88,08
520,836;88,03
521,086;87,97
521,335;87,88
521,585;87,79
521,834;87,75
522,083;87,7
522,333;87,62
522,582;87,55
522,831;87,5
523,081;87,44
523,33;87,37
523,579;87,28
523,828;87,19
524,078;87,1
524,327;87,04
524,576;86,96
524,825;86,87
525,074;86,79
525,323;86,71
525,573;86,65
525,822;86,57
526,071;86,49
526,32;86,42
526,569;86,34
526,818;86,29
527,067;86,18
527,316;86,09
527,565;85,99
527,814;85,9
528,063;85,82
528,312;85,75
528,56;85,67
528,809;85,6
529,058;85,53
529,307;85,46
529,556;85,37
529,805;85,31
530,053;85,26
530,302;85,18
530,551;85,1
530,8;85,02
531,048;84,94
531,297;84,86
531,546;84,79
531,794;84,74
532,043;84,65
532,292;84,59
