Data from CoccinigliaWhite_Reflection__1__47.txt Node;
"Date: Fri Sep 12 11:37:40 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
424,016;1,64
424,272;1,63
424,528;1,63
424,784;1,64
425,041;1,63
425,297;1,63
425,553;1,63
425,809;1,64
426,065;1,64
426,32;1,63
426,576;1,62
426,832;1,61
427,088;1,59
427,344;1,57
427,6;1,58
427,856;1,58
428,112;1,58
428,368;1,58
428,623;1,56
428,879;1,58
429,135;1,58
429,391;1,58
429,646;1,56
429,902;1,53
430,158;1,54
430,414;1,53
430,669;1,53
430,925;1,52
431,181;1,54
431,436;1,54
431,692;1,54
431,947;1,53
432,203;1,52
432,458;1,52
432,714;1,52
432,97;1,5
433,225;1,5
433,481;1,49
433,736;1,49
433,991;1,51
434,247;1,49
434,502;1,49
434,758;1,48
435,013;1,51
435,268;1,52
435,524;1,5
435,779;1,5
436,034;1,49
436,29;1,5
436,545;1,46
436,8;1,47
437,056;1,45
437,311;1,46
437,566;1,46
437,821;1,46
438,076;1,45
438,331;1,45
438,587;1,44
438,842;1,45
439,097;1,43
439,352;1,42
439,607;1,42
439,862;1,43
440,117;1,42
440,372;1,39
440,627;1,37
440,882;1,37
441,137;1,37
441,392;1,35
441,647;1,36
441,902;1,36
442,157;1,36
442,412;1,36
442,667;1,35
442,921;1,36
443,176;1,37
443,431;1,38
443,686;1,37
443,941;1,35
444,195;1,34
444,45;1,36
444,705;1,36
444,96;1,35
445,214;1,33
445,469;1,34
445,724;1,33
445,978;1,34
446,233;1,34
446,487;1,34
446,742;1,34
446,997;1,32
447,251;1,31
447,506;1,31
447,76;1,31
448,015;1,32
448,269;1,3
448,524;1,29
448,778;1,27
449,033;1,28
449,287;1,29
449,541;1,28
449,796;1,26
450,05;1,24
450,305;1,24
450,559;1,24
450,813;1,22
451,067;1,22
451,322;1,22
451,576;1,2
451,83;1,19
452,084;1,18
452,339;1,18
452,593;1,17
452,847;1,15
453,101;1,15
453,355;1,13
453,609;1,13
453,864;1,12
454,118;1,12
454,372;1,1
454,626;1,12
454,88;1,12
455,134;1,12
455,388;1,13
455,642;1,13
455,896;1,13
456,15;1,13
456,404;1,13
456,658;1,12
456,912;1,12
457,165;1,12
457,419;1,13
457,673;1,15
457,927;1,16
458,181;1,17
458,435;1,18
458,688;1,18
458,942;1,18
459,196;1,16
459,45;1,16
459,703;1,16
459,957;1,14
460,211;1,14
460,464;1,16
460,718;1,13
460,972;1,12
461,225;1,1
461,479;1,1
461,732;1,1
461,986;1,1
462,239;1,1
462,493;1,09
462,746;1,09
463;1,06
463,253;1,05
463,507;1,04
463,76;1,02
464,014;1,02
464,267;1,02
464,52;1,02
464,774;1,03
465,027;1,02
465,28;1,03
465,534;1,03
