Data from CoccinigliaWhite_Reflection__2__48.txt Node;
"Date: Fri Sep 12 11:38:17 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
592,174;6
592,418;6,06
592,662;6,12
592,907;6,19
593,151;6,26
593,395;6,32
593,639;6,39
593,883;6,45
594,127;6,51
594,371;6,57
594,615;6,63
594,859;6,69
595,103;6,75
595,347;6,81
595,591;6,89
595,835;6,95
596,079;7,04
596,323;7,12
596,567;7,19
596,811;7,27
597,055;7,35
597,299;7,43
597,542;7,52
597,786;7,6
598,03;7,69
598,274;7,77
598,518;7,87
598,761;7,96
599,005;8,06
599,249;8,15
599,492;8,25
599,736;8,35
599,98;8,46
600,223;8,55
600,467;8,66
600,711;8,76
600,954;8,87
601,198;8,97
601,441;9,07
601,685;9,17
601,928;9,28
602,172;9,38
602,415;9,49
602,659;9,59
602,902;9,71
603,145;9,82
603,389;9,93
603,632;10,03
603,876;10,15
604,119;10,26
604,362;10,38
604,606;10,49
604,849;10,61
605,092;10,72
605,335;10,83
605,579;10,94
