Data from CoccinigliaWhite_Reflection__3__49.txt Node;
"Date: Fri Sep 12 11:39:08 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
508,343;2,42
508,593;2,42
508,843;2,43
509,093;2,43
509,344;2,43
509,594;2,42
509,844;2,42
510,094;2,42
510,345;2,43
510,595;2,44
510,845;2,44
511,095;2,44
511,345;2,44
511,595;2,44
511,845;2,44
512,095;2,44
512,345;2,46
512,595;2,46
512,845;2,46
513,095;2,47
513,345;2,47
513,595;2,48
513,845;2,48
514,095;2,48
514,345;2,48
514,595;2,47
514,845;2,47
515,095;2,46
515,345;2,46
515,594;2,47
515,844;2,47
516,094;2,47
516,344;2,47
516,593;2,46
516,843;2,46
517,093;2,45
517,343;2,46
517,592;2,46
517,842;2,46
518,092;2,46
518,341;2,45
518,591;2,45
518,84;2,45
519,09;2,45
519,34;2,46
519,589;2,47
519,839;2,48
520,088;2,49
520,338;2,49
520,587;2,5
520,836;2,49
521,086;2,49
521,335;2,49
521,585;2,5
521,834;2,52
522,083;2,52
522,333;2,53
522,582;2,53
522,831;2,52
523,081;2,52
523,33;2,52
523,579;2,53
523,828;2,53
524,078;2,54
524,327;2,54
524,576;2,54
524,825;2,54
525,074;2,54
525,323;2,53
525,573;2,54
525,822;2,54
526,071;2,54
526,32;2,55
526,569;2,55
526,818;2,56
527,067;2,55
527,316;2,55
527,565;2,56
527,814;2,56
528,063;2,56
528,312;2,57
528,56;2,57
528,809;2,57
529,058;2,57
529,307;2,56
529,556;2,56
529,805;2,56
530,053;2,56
530,302;2,56
530,551;2,58
530,8;2,58
531,048;2,58
531,297;2,58
531,546;2,58
531,794;2,58
532,043;2,58
532,292;2,58
532,54;2,59
532,789;2,58
533,037;2,59
533,286;2,59
533,535;2,6
533,783;2,59
534,032;2,59
534,28;2,59
534,528;2,6
534,777;2,61
535,025;2,61
535,274;2,61
535,522;2,61
535,771;2,61
536,019;2,61
536,267;2,61
536,516;2,61
536,764;2,61
537,012;2,6
537,26;2,62
537,509;2,62
537,757;2,61
538,005;2,61
538,253;2,61
538,501;2,61
538,75;2,6
538,998;2,6
539,246;2,61
539,494;2,6
539,742;2,6
539,99;2,6
540,238;2,6
540,486;2,6
540,734;2,6
540,982;2,59
541,23;2,59
541,478;2,59
541,726;2,59
541,974;2,59
542,222;2,59
542,47;2,58
542,718;2,59
542,966;2,59
543,213;2,58
543,461;2,57
543,709;2,57
543,957;2,58
544,205;2,58
544,452;2,58
544,7;2,58
544,948;2,58
545,196;2,58
545,443;2,58
545,691;2,58
545,939;2,58
546,186;2,57
546,434;2,59
546,681;2,58
546,929;2,59
547,176;2,59
547,424;2,6
547,671;2,59
547,919;2,59
548,166;2,6
548,414;2,6
548,661;2,61
548,909;2,6
549,156;2,6
549,404;2,6
549,651;2,61
549,898;2,61
550,146;2,62
550,393;2,63
550,64;2,63
550,888;2,63
551,135;2,64
551,382;2,64
551,629;2,63
551,876;2,64
552,124;2,64
552,371;2,64
552,618;2,63
552,865;2,64
553,112;2,63
553,359;2,63
553,606;2,64
553,854;2,64
554,101;2,65
554,348;2,65
554,595;2,64
554,842;2,63
555,089;2,63
555,336;2,63
555,582;2,62
555,829;2,63
556,076;2,62
556,323;2,63
556,57;2,63
556,817;2,63
557,064;2,63
557,311;2,63
557,557;2,63
557,804;2,63
558,051;2,63
558,298;2,64
558,544;2,64
558,791;2,64
559,038;2,64
559,284;2,63
559,531;2,64
559,778;2,65
560,024;2,65
560,271;2,66
560,517;2,66
560,764;2,66
561,011;2,67
561,257;2,68
561,504;2,67
561,75;2,68
561,997;2,69
562,243;2,69
562,489;2,7
562,736;2,71
562,982;2,71
563,229;2,71
563,475;2,71
563,721;2,71
563,968;2,72
564,214;2,73
564,46;2,74
564,707;2,75
564,953;2,75
565,199;2,76
565,445;2,77
565,691;2,78
565,938;2,78
566,184;2,8
566,43;2,8
566,676;2,81
566,922;2,82
567,168;2,83
567,414;2,84
567,66;2,85
567,906;2,85
568,152;2,87
568,398;2,88
568,644;2,9
568,89;2,91
569,136;2,92
569,382;2,93
569,628;2,95
569,874;2,95
570,12;2,97
570,366;2,97
570,612;2,98
570,857;2,99
571,103;3
571,349;3,01
571,595;3,02
571,84;3,03
572,086;3,04
572,332;3,05
572,578;3,05
572,823;3,06
573,069;3,07
573,315;3,08
573,56;3,09
573,806;3,09
574,051;3,11
574,297;3,12
574,542;3,12
574,788;3,14
575,034;3,16
575,279;3,16
575,524;3,18
575,77;3,19
576,015;3,21
576,261;3,22
576,506;3,22
576,752;3,22
576,997;3,23
577,242;3,23
577,488;3,24
577,733;3,24
577,978;3,25
578,223;3,26
578,469;3,28
578,714;3,29
578,959;3,3
579,204;3,31
579,45;3,32
579,695;3,33
579,94;3,33
580,185;3,33
580,43;3,34
580,675;3,34
580,92;3,34
581,165;3,35
581,41;3,35
581,655;3,36
581,9;3,37
582,145;3,38
582,39;3,39
582,635;3,39
582,88;3,41
583,125;3,41
583,37;3,42
583,615;3,42
583,86;3,42
584,105;3,42
584,349;3,43
584,594;3,43
584,839;3,45
585,084;3,45
585,328;3,46
585,573;3,47
585,818;3,47
586,063;3,48
586,307;3,49
586,552;3,51
586,797;3,52
587,041;3,53
587,286;3,54
587,53;3,55
587,775;3,56
588,019;3,58
588,264;3,61
588,508;3,63
588,753;3,64
588,997;3,66
589,242;3,68
589,486;3,69
589,731;3,72
589,975;3,74
590,22;3,77
590,464;3,81
590,708;3,85
590,953;3,88
591,197;3,92
591,441;3,96
591,685;4
591,93;4,04
592,174;4,09
592,418;4,12
592,662;4,18
592,907;4,23
593,151;4,28
593,395;4,32
593,639;4,37
593,883;4,42
594,127;4,49
594,371;4,53
594,615;4,6
594,859;4,66
595,103;4,72
595,347;4,78
595,591;4,84
595,835;4,91
596,079;4,99
596,323;5,06
596,567;5,14
596,811;5,23
597,055;5,32
597,299;5,4
597,542;5,5
597,786;5,59
598,03;5,69
598,274;5,78
598,518;5,9
598,761;6
599,005;6,1
599,249;6,2
599,492;6,32
599,736;6,43
599,98;6,55
600,223;6,67
600,467;6,8
600,711;6,91
600,954;7,04
601,198;7,16
601,441;7,29
601,685;7,41
601,928;7,54
602,172;7,67
602,415;7,8
602,659;7,92
602,902;8,07
603,145;8,2
603,389;8,34
603,632;8,48
603,876;8,62
604,119;8,76
604,362;8,92
604,606;9,07
604,849;9,23
605,092;9,36
