Data from CoccinigliaWhite_Reflection__0__46.txt Node;
"Date: Fri Sep 12 11:36:39 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
456,912;4,67
457,165;4,67
457,419;4,66
457,673;4,68
457,927;4,69
458,181;4,69
458,435;4,69
458,688;4,72
458,942;4,71
459,196;4,71
459,45;4,72
459,703;4,73
459,957;4,72
460,211;4,72
460,464;4,74
460,718;4,71
460,972;4,73
461,225;4,73
461,479;4,73
461,732;4,73
461,986;4,73
462,239;4,73
462,493;4,74
462,746;4,75
463;4,73
463,253;4,74
463,507;4,75
463,76;4,73
464,014;4,72
464,267;4,73
464,52;4,74
464,774;4,73
465,027;4,73
465,28;4,75
465,534;4,76
465,787;4,76
466,04;4,77
466,294;4,78
466,547;4,79
466,8;4,81
467,053;4,8
467,306;4,81
467,56;4,79
467,813;4,79
468,066;4,79
468,319;4,82
468,572;4,82
468,825;4,82
469,078;4,83
469,331;4,82
469,584;4,82
469,837;4,82
470,09;4,83
470,343;4,83
470,596;4,82
470,849;4,82
471,102;4,83
471,355;4,83
471,608;4,84
471,861;4,83
472,114;4,81
472,367;4,81
472,619;4,82
472,872;4,84
473,125;4,84
473,378;4,84
473,631;4,84
473,883;4,86
474,136;4,86
474,389;4,86
474,641;4,86
474,894;4,88
475,147;4,88
475,399;4,89
475,652;4,92
475,905;4,92
476,157;4,91
476,41;4,9
476,662;4,9
476,915;4,89
477,167;4,91
477,42;4,93
477,672;4,95
477,925;4,95
478,177;4,95
478,43;4,96
478,682;4,97
478,934;4,97
479,187;4,97
479,439;4,98
479,691;4,98
479,944;5,01
480,196;5
480,448;5,02
480,701;5,03
480,953;5,03
481,205;5,04
481,457;5,05
481,709;5,08
481,962;5,11
482,214;5,13
482,466;5,17
482,718;5,19
482,97;5,25
483,222;5,31
483,474;5,36
483,726;5,4
483,978;5,44
484,23;5,46
484,482;5,48
484,734;5,49
484,986;5,5
485,238;5,5
485,49;5,51
485,742;5,52
485,994;5,53
486,246;5,53
486,498;5,54
486,75;5,55
487,001;5,54
487,253;5,53
487,505;5,53
487,757;5,51
488,009;5,51
488,26;5,49
488,512;5,46
488,764;5,42
489,015;5,38
489,267;5,35
489,519;5,33
489,77;5,31
490,022;5,29
490,274;5,29
490,525;5,29
490,777;5,28
491,028;5,28
491,28;5,28
491,531;5,28
491,783;5,27
492,034;5,28
492,286;5,29
492,537;5,29
492,789;5,29
493,04;5,3
493,291;5,29
493,543;5,28
493,794;5,27
494,045;5,28
494,297;5,28
494,548;5,29
494,799;5,29
495,051;5,3
495,302;5,29
495,553;5,3
495,804;5,3
496,056;5,31
496,307;5,3
496,558;5,3
496,809;5,31
497,06;5,33
497,311;5,33
497,562;5,34
497,813;5,34
498,064;5,34
498,316;5,34
498,567;5,34
498,818;5,34
499,069;5,35
499,319;5,35
499,57;5,35
499,821;5,34
500,072;5,36
500,323;5,36
500,574;5,38
500,825;5,38
501,076;5,38
501,327;5,37
501,577;5,39
501,828;5,39
502,079;5,39
502,33;5,38
502,58;5,39
502,831;5,4
503,082;5,4
503,333;5,4
503,583;5,4
503,834;5,4
504,084;5,4
504,335;5,41
504,586;5,42
504,836;5,42
505,087;5,43
505,337;5,41
505,588;5,42
505,838;5,41
506,089;5,41
506,339;5,4
506,59;5,42
506,84;5,41
507,091;5,41
507,341;5,41
507,591;5,42
507,842;5,41
508,092;5,41
508,343;5,41
508,593;5,41
508,843;5,42
509,093;5,43
509,344;5,43
509,594;5,43
509,844;5,42
510,094;5,43
510,345;5,44
510,595;5,45
510,845;5,45
511,095;5,45
511,345;5,45
511,595;5,46
511,845;5,46
512,095;5,47
512,345;5,46
512,595;5,47
512,845;5,46
513,095;5,47
513,345;5,47
513,595;5,47
513,845;5,46
514,095;5,46
514,345;5,46
514,595;5,47
514,845;5,47
515,095;5,48
515,345;5,48
515,594;5,49
515,844;5,49
516,094;5,5
516,344;5,5
516,593;5,5
516,843;5,5
517,093;5,5
517,343;5,51
517,592;5,52
517,842;5,53
518,092;5,54
518,341;5,54
518,591;5,55
518,84;5,56
519,09;5,57
519,34;5,58
519,589;5,58
519,839;5,58
520,088;5,59
520,338;5,59
520,587;5,6
520,836;5,59
521,086;5,6
521,335;5,59
521,585;5,59
521,834;5,6
522,083;5,61
522,333;5,62
522,582;5,63
522,831;5,64
523,081;5,62
523,33;5,63
523,579;5,63
523,828;5,64
524,078;5,64
524,327;5,63
524,576;5,64
524,825;5,64
525,074;5,64
525,323;5,64
525,573;5,64
525,822;5,64
526,071;5,65
526,32;5,65
526,569;5,66
526,818;5,67
527,067;5,67
527,316;5,66
527,565;5,67
527,814;5,66
528,063;5,66
528,312;5,68
528,56;5,69
528,809;5,68
529,058;5,69
529,307;5,69
529,556;5,7
529,805;5,71
530,053;5,72
530,302;5,72
530,551;5,74
530,8;5,74
531,048;5,76
531,297;5,76
531,546;5,76
531,794;5,77
532,043;5,77
532,292;5,78
532,54;5,8
532,789;5,8
533,037;5,82
533,286;5,82
533,535;5,84
533,783;5,83
534,032;5,84
534,28;5,84
534,528;5,85
534,777;5,85
535,025;5,85
535,274;5,85
535,522;5,85
535,771;5,84
536,019;5,85
536,267;5,84
536,516;5,85
536,764;5,86
537,012;5,86
537,26;5,87
537,509;5,87
537,757;5,86
538,005;5,87
538,253;5,88
538,501;5,88
538,75;5,88
538,998;5,89
539,246;5,89
539,494;5,89
539,742;5,9
539,99;5,91
540,238;5,9
540,486;5,9
540,734;5,91
540,982;5,91
541,23;5,91
541,478;5,93
541,726;5,92
541,974;5,93
542,222;5,93
542,47;5,92
542,718;5,93
542,966;5,93
543,213;5,93
543,461;5,92
543,709;5,92
543,957;5,92
544,205;5,93
544,452;5,93
544,7;5,93
544,948;5,93
545,196;5,92
545,443;5,93
545,691;5,93
545,939;5,94
546,186;5,93
546,434;5,95
546,681;5,94
546,929;5,94
547,176;5,95
547,424;5,96
547,671;5,96
547,919;5,97
548,166;5,97
548,414;5,98
548,661;5,99
548,909;6
549,156;6
549,404;6
549,651;6,01
549,898;6,02
550,146;6,02
550,393;6,04
550,64;6,04
550,888;6,06
551,135;6,07
551,382;6,08
551,629;6,08
551,876;6,11
552,124;6,11
552,371;6,1
552,618;6,11
552,865;6,12
553,112;6,11
553,359;6,13
553,606;6,13
553,854;6,12
554,101;6,13
554,348;6,13
554,595;6,12
554,842;6,12
555,089;6,12
555,336;6,12
555,582;6,11
555,829;6,12
556,076;6,11
556,323;6,11
556,57;6,12
556,817;6,12
557,064;6,1
557,311;6,11
557,557;6,11
557,804;6,11
558,051;6,11
558,298;6,12
558,544;6,11
558,791;6,11
559,038;6,12
559,284;6,12
559,531;6,12
559,778;6,13
560,024;6,14
560,271;6,14
560,517;6,15
560,764;6,16
561,011;6,16
561,257;6,18
561,504;6,17
561,75;6,18
561,997;6,19
562,243;6,2
562,489;6,21
562,736;6,22
562,982;6,23
563,229;6,23
563,475;6,23
563,721;6,25
563,968;6,26
564,214;6,27
564,46;6,28
564,707;6,29
564,953;6,29
565,199;6,3
565,445;6,31
565,691;6,33
565,938;6,34
566,184;6,36
566,43;6,37
566,676;6,4
566,922;6,41
567,168;6,43
567,414;6,45
567,66;6,48
567,906;6,5
568,152;6,53
568,398;6,56
568,644;6,59
568,89;6,62
569,136;6,64
569,382;6,66
569,628;6,69
569,874;6,71
570,12;6,74
570,366;6,76
570,612;6,79
570,857;6,81
571,103;6,83
571,349;6,85
571,595;6,88
571,84;6,9
572,086;6,93
572,332;6,94
572,578;6,96
572,823;6,96
573,069;6,98
573,315;6,99
573,56;7,01
573,806;7,03
574,051;7,05
574,297;7,07
574,542;7,09
574,788;7,11
575,034;7,14
575,279;7,14
575,524;7,17
575,77;7,18
576,015;7,2
576,261;7,22
576,506;7,24
576,752;7,24
576,997;7,26
577,242;7,26
577,488;7,27
577,733;7,28
577,978;7,3
578,223;7,32
578,469;7,35
578,714;7,37
578,959;7,39
579,204;7,4
579,45;7,43
579,695;7,44
579,94;7,46
580,185;7,47
580,43;7,49
580,675;7,49
580,92;7,51
581,165;7,52
581,41;7,53
581,655;7,54
581,9;7,55
582,145;7,56
582,39;7,58
582,635;7,59
582,88;7,61
583,125;7,61
583,37;7,62
583,615;7,62
583,86;7,63
584,105;7,63
584,349;7,65
584,594;7,65
584,839;7,67
585,084;7,67
585,328;7,68
585,573;7,69
585,818;7,7
586,063;7,71
586,307;7,72
586,552;7,73
586,797;7,75
587,041;7,77
587,286;7,78
587,53;7,79
587,775;7,81
588,019;7,82
588,264;7,85
588,508;7,86
588,753;7,87
588,997;7,89
589,242;7,92
589,486;7,94
589,731;7,96
589,975;7,98
590,22;8,01
590,464;8,04
590,708;8,08
590,953;8,12
591,197;8,16
591,441;8,21
591,685;8,26
591,93;8,29
592,174;8,35
592,418;8,39
592,662;8,44
592,907;8,49
593,151;8,55
593,395;8,58
593,639;8,64
593,883;8,7
594,127;8,75
594,371;8,8
594,615;8,85
594,859;8,9
595,103;8,97
595,347;9,02
595,591;9,1
595,835;9,16
596,079;9,23
596,323;9,3
596,567;9,37
596,811;9,44
597,055;9,52
597,299;9,59
597,542;9,69
597,786;9,76
598,03;9,86
598,274;9,94
598,518;10,04
598,761;10,12
599,005;10,22
599,249;10,31
599,492;10,41
599,736;10,51
599,98;10,62
600,223;10,73
600,467;10,84
600,711;10,93
600,954;11,05
601,198;11,17
601,441;11,28
601,685;11,39
601,928;11,52
602,172;11,63
602,415;11,75
602,659;11,86
602,902;11,99
603,145;12,11
603,389;12,24
603,632;12,36
603,876;12,5
604,119;12,63
604,362;12,76
604,606;12,89
604,849;13,03
605,092;13,14
605,335;13,27
605,579;13,39
