User:;sycur
Spectrometer:;SR400348
"Trigger Integration";"mode: Time"
447,76;5,09
448,015;5,07
448,269;5,12
448,524;5,1
448,778;5,08
449,033;5,03
449,287;4,98
449,541;4,99
449,796;5,07
450,05;5,06
450,305;5,05
450,559;5,07
450,813;5,07
451,067;5,04
451,322;5,02
451,576;5
451,83;5
452,084;5,02
452,339;5,06
452,593;5,11
452,847;5,13
453,101;5,13
453,355;5,13
453,609;5,09
453,864;5,09
454,118;5,08
454,372;5,1
454,626;5,11
454,88;5,11
455,134;5,09
455,388;5,06
455,642;5,05
455,896;5,1
456,15;5,08
456,404;5,11
456,658;5,09
456,912;5,08
457,165;5,05
457,419;5,06
457,673;5,03
457,927;4,99
458,181;5
458,435;5,02
458,688;5
458,942;5,02
459,196;5
459,45;4,97
459,703;5
459,957;5
460,211;4,99
460,464;4,98
460,718;4,98
460,972;4,98
461,225;4,93
461,479;4,94
461,732;4,96
461,986;4,96
462,239;4,96
462,493;4,97
462,746;4,99
463;4,97
463,253;5
463,507;4,96
463,76;4,97
464,014;4,97
464,267;4,97
464,52;5,02
464,774;5,05
465,027;5,09
465,28;5,11
465,534;5,07
465,787;5,08
466,04;5,06
466,294;5,04
466,547;5,08
466,8;5,11
467,053;5,1
467,306;5,12
467,56;5,14
467,813;5,12
468,066;5,09
468,319;5,12
468,572;5,09
468,825;5,11
469,078;5,14
469,331;5,14
469,584;5,14
469,837;5,13
470,09;5,15
470,343;5,09
470,596;5,1
470,849;5,14
471,102;5,14
471,355;5,15
471,608;5,17
471,861;5,18
472,114;5,17
472,367;5,18
472,619;5,19
472,872;5,19
473,125;5,18
473,378;5,17
473,631;5,2
473,883;5,19
474,136;5,2
474,389;5,23
474,641;5,25
474,894;5,23
475,147;5,23
475,399;5,22
475,652;5,25
475,905;5,24
476,157;5,26
476,41;5,29
476,662;5,28
476,915;5,3
477,167;5,29
477,42;5,31
477,672;5,32
477,925;5,33
478,177;5,35
478,43;5,36
478,682;5,37
478,934;5,35
479,187;5,37
479,439;5,36
479,691;5,34
479,944;5,36
480,196;5,38
480,448;5,39
480,701;5,4
480,953;5,42
481,205;5,43
481,457;5,44
481,709;5,44
481,962;5,49
482,214;5,51
482,466;5,54
482,718;5,56
482,97;5,59
483,222;5,62
483,474;5,64
483,726;5,69
483,978;5,7
484,23;5,75
484,482;5,76
484,734;5,79
484,986;5,8
485,238;5,8
485,49;5,82
485,742;5,84
485,994;5,85
486,246;5,84
486,498;5,85
486,75;5,85
487,001;5,85
487,253;5,84
487,505;5,83
487,757;5,84
488,009;5,84
488,26;5,84
488,512;5,88
488,764;5,89
489,015;5,88
489,267;5,91
489,519;5,89
489,77;5,9
490,022;5,91
490,274;5,91
490,525;5,95
490,777;5,96
491,028;5,98
491,28;5,99
491,531;6,03
491,783;6,05
492,034;6,07
492,286;6,1
492,537;6,13
492,789;6,17
493,04;6,19
493,291;6,18
493,543;6,2
493,794;6,18
494,045;6,22
494,297;6,24
494,548;6,25
494,799;6,27
495,051;6,29
495,302;6,32
495,553;6,36
495,804;6,38
496,056;6,42
496,307;6,43
496,558;6,49
496,809;6,52
497,06;6,56
497,311;6,57
497,562;6,6
497,813;6,63
498,064;6,67
498,316;6,69
498,567;6,74
498,818;6,77
499,069;6,8
499,319;6,82
499,57;6,83
499,821;6,86
500,072;6,91
500,323;6,95
500,574;6,96
500,825;6,98
501,076;7,01
501,327;7,03
501,577;7,09
501,828;7,08
502,079;7,11
502,33;7,15
502,58;7,2
502,831;7,23
503,082;7,24
503,333;7,29
503,583;7,33
503,834;7,36
504,084;7,41
504,335;7,45
504,586;7,49
504,836;7,56
505,087;7,6
505,337;7,63
505,588;7,65
505,838;7,73
506,089;7,8
506,339;7,83
506,59;7,88
506,84;7,89
507,091;7,97
507,341;8,02
507,591;8,05
507,842;8,12
508,092;8,18
508,343;8,24
508,593;8,27
508,843;8,31
509,093;8,35
509,344;8,39
509,594;8,46
509,844;8,51
510,094;8,56
510,345;8,63
510,595;8,68
510,845;8,73
511,095;8,77
511,345;8,81
511,595;8,85
511,845;8,89
512,095;8,98
512,345;9,02
512,595;9,06
512,845;9,12
513,095;9,15
513,345;9,23
513,595;9,28
513,845;9,34
514,095;9,41
514,345;9,48
514,595;9,51
514,845;9,53
515,095;9,58
515,345;9,63
515,594;9,68
515,844;9,75
516,094;9,82
516,344;9,88
516,593;9,92
516,843;9,97
517,093;10,03
517,343;10,06
517,592;10,13
517,842;10,21
518,092;10,27
518,341;10,31
518,591;10,37
518,84;10,43
519,09;10,5
519,34;10,56
519,589;10,62
519,839;10,71
520,088;10,79
520,338;10,85
520,587;10,92
520,836;10,99
521,086;11,06
521,335;11,16
521,585;11,21
521,834;11,33
522,083;11,43
522,333;11,51
522,582;11,62
522,831;11,71
523,081;11,77
523,33;11,87
523,579;11,98
523,828;12,06
524,078;12,13
524,327;12,22
524,576;12,3
524,825;12,39
525,074;12,49
525,323;12,6
525,573;12,72
525,822;12,82
526,071;12,95
526,32;13,04
526,569;13,12
526,818;13,24
527,067;13,34
527,316;13,43
527,565;13,54
527,814;13,66
528,063;13,74
528,312;13,85
528,56;13,95
528,809;14,04
529,058;14,17
529,307;14,3
529,556;14,41
529,805;14,54
530,053;14,68
530,302;14,79
530,551;14,93
530,8;15,04
531,048;15,16
531,297;15,3
531,546;15,41
531,794;15,55
532,043;15,68
532,292;15,8
532,54;15,96
532,789;16,07
533,037;16,19
533,286;16,3
533,535;16,46
533,783;16,57
534,032;16,74
534,28;16,83
534,528;16,96
534,777;17,09
535,025;17,22
535,274;17,36
535,522;17,52
535,771;17,63
536,019;17,8
536,267;17,96
536,516;18,08
536,764;18,26
537,012;18,41
537,26;18,55
537,509;18,72
