User:;sycur
Spectrometer:;SR400348
"Trigger Integration";"mode: Time"
451,322;21,9
451,576;21,87
451,83;21,87
452,084;21,98
452,339;22,05
452,593;22,05
452,847;22,05
453,101;22,05
453,355;22,1
453,609;22,1
453,864;22,09
454,118;22,12
454,372;22,13
454,626;22,16
454,88;22,21
455,134;22,27
455,388;22,24
455,642;22,24
455,896;22,27
456,15;22,33
456,404;22,41
456,658;22,49
456,912;22,54
457,165;22,52
457,419;22,49
457,673;22,41
457,927;22,36
458,181;22,39
458,435;22,41
458,688;22,41
458,942;22,41
459,196;22,37
459,45;22,37
459,703;22,34
459,957;22,35
460,211;22,36
460,464;22,35
460,718;22,38
460,972;22,35
461,225;22,33
461,479;22,36
461,732;22,32
461,986;22,32
462,239;22,32
462,493;22,4
462,746;22,41
463;22,48
463,253;22,55
463,507;22,47
463,76;22,46
464,014;22,44
464,267;22,46
464,52;22,56
464,774;22,57
465,027;22,65
465,28;22,69
465,534;22,66
465,787;22,68
466,04;22,69
466,294;22,68
466,547;22,7
466,8;22,71
467,053;22,72
467,306;22,77
467,56;22,78
467,813;22,76
468,066;22,77
468,319;22,74
468,572;22,71
468,825;22,79
469,078;22,84
469,331;22,91
469,584;22,89
469,837;22,91
470,09;22,98
470,343;22,96
470,596;22,97
470,849;23
471,102;23,01
471,355;23,05
471,608;23,15
471,861;23,18
472,114;23,23
472,367;23,3
472,619;23,33
472,872;23,4
473,125;23,44
473,378;23,46
473,631;23,55
473,883;23,59
474,136;23,62
474,389;23,67
474,641;23,7
474,894;23,76
475,147;23,8
475,399;23,83
475,652;23,89
475,905;23,94
476,157;24
476,41;24,09
476,662;24,12
476,915;24,13
477,167;24,17
477,42;24,18
477,672;24,19
477,925;24,24
478,177;24,27
478,43;24,33
478,682;24,37
478,934;24,4
479,187;24,47
479,439;24,52
479,691;24,59
479,944;24,62
480,196;24,67
480,448;24,72
480,701;24,79
480,953;24,84
481,205;24,89
481,457;24,95
481,709;25,01
481,962;25,08
482,214;25,24
482,466;25,39
482,718;25,59
482,97;25,81
483,222;25,96
483,474;26,13
483,726;26,27
483,978;26,39
484,23;26,5
484,482;26,62
484,734;26,68
484,986;26,71
485,238;26,76
485,49;26,82
485,742;26,87
485,994;26,9
486,246;26,94
486,498;26,99
486,75;27,03
487,001;27,05
487,253;27,09
487,505;27,09
487,757;27,11
488,009;27,06
488,26;27,02
488,512;27
488,764;26,94
489,015;26,93
489,267;26,92
489,519;26,89
489,77;26,88
490,022;26,93
490,274;26,97
490,525;27,04
490,777;27,09
491,028;27,15
491,28;27,21
491,531;27,27
491,783;27,3
492,034;27,39
492,286;27,46
492,537;27,54
492,789;27,56
493,04;27,6
493,291;27,66
493,543;27,76
493,794;27,8
494,045;27,9
494,297;27,91
494,548;28
494,799;28,06
495,051;28,13
495,302;28,19
495,553;28,26
495,804;28,29
