Data from verderameWhite_Reflection__0__22.txt Node;
"Date: Thu Sep 11 16:20:41 CEST 2025 User: sycur";
497,311;75,68
497,562;75,64
497,813;75,58
498,064;75,55
498,316;75,5
498,567;75,44
498,818;75,39
499,069;75,32
499,319;75,26
499,57;75,18
499,821;75,11
500,072;75,07
500,323;75,03
500,574;74,96
500,825;74,89
501,076;74,82
501,327;74,76
501,577;74,7
501,828;74,64
502,079;74,58
502,33;74,53
502,58;74,44
502,831;74,39
503,082;74,35
503,333;74,27
503,583;74,21
503,834;74,15
504,084;74,09
504,335;74
504,586;73,93
504,836;73,87
505,087;73,79
505,337;73,7
505,588;73,61
505,838;73,55
506,089;73,5
506,339;73,42
506,59;73,34
506,84;73,27
507,091;73,22
507,341;73,14
507,591;73,06
507,842;72,99
508,092;72,9
508,343;72,81
508,593;72,75
508,843;72,67
509,093;72,58
509,344;72,48
509,594;72,41
509,844;72,34
510,094;72,25
510,345;72,19
510,595;72,13
510,845;72,06
511,095;71,98
511,345;71,9
511,595;71,81
511,845;71,74
512,095;71,66
512,345;71,57
512,595;71,5
512,845;71,42
513,095;71,36
513,345;71,28
513,595;71,19
513,845;71,09
514,095;71
514,345;70,93
514,595;70,86
514,845;70,78
515,095;70,71
515,345;70,63
515,594;70,54
515,844;70,44
516,094;70,35
516,344;70,28
516,593;70,18
516,843;70,1
517,093;70,02
517,343;69,92
517,592;69,83
517,842;69,74
518,092;69,65
518,341;69,56
518,591;69,49
518,84;69,42
519,09;69,34
519,34;69,26
519,589;69,17
519,839;69,08
520,088;69,01
520,338;68,9
520,587;68,8
520,836;68,71
521,086;68,62
521,335;68,53
521,585;68,42
521,834;68,33
522,083;68,24
522,333;68,14
522,582;68,04
522,831;67,95
523,081;67,86
523,33;67,77
523,579;67,67
523,828;67,57
524,078;67,46
524,327;67,36
524,576;67,27
524,825;67,18
525,074;67,09
525,323;66,96
525,573;66,87
525,822;66,78
526,071;66,69
526,32;66,6
526,569;66,5
526,818;66,41
527,067;66,31
527,316;66,19
527,565;66,08
527,814;65,99
528,063;65,89
528,312;65,78
528,56;65,69
528,809;65,57
529,058;65,45
529,307;65,35
529,556;65,24
529,805;65,13
530,053;65,01
530,302;64,9
530,551;64,82
530,8;64,72
531,048;64,62
531,297;64,48
531,546;64,37
531,794;64,29
532,043;64,18
532,292;64,07
532,54;64
532,789;63,9
533,037;63,79
533,286;63,66
533,535;63,56
533,783;63,47
534,032;63,37
534,28;63,26
534,528;63,16
534,777;63,06
535,025;62,96
535,274;62,86
535,522;62,74
535,771;62,64
536,019;62,54
536,267;62,44
536,516;62,35
536,764;62,25
537,012;62,12
537,26;62,01
537,509;61,9
537,757;61,77
538,005;61,66
538,253;61,56
538,501;61,47
538,75;61,35
538,998;61,23
539,246;61,13
539,494;61,04
539,742;60,93
539,99;60,84
540,238;60,72
540,486;60,6
540,734;60,5
540,982;60,38
541,23;60,27
541,478;60,16
541,726;60,04
541,974;59,95
542,222;59,83
542,47;59,74
542,718;59,64
542,966;59,54
543,213;59,44
543,461;59,34
543,709;59,23
543,957;59,12
544,205;59,01
544,452;58,89
544,7;58,77
544,948;58,67
545,196;58,56
545,443;58,45
545,691;58,36
545,939;58,24
546,186;58,13
546,434;58,02
546,681;57,9
546,929;57,8
547,176;57,69
547,424;57,58
547,671;57,46
547,919;57,35
548,166;57,24
548,414;57,14
548,661;57,01
548,909;56,9
549,156;56,81
549,404;56,7
549,651;56,6
549,898;56,5
550,146;56,38
550,393;56,27
550,64;56,16
550,888;56,04
551,135;55,96
551,382;55,85
551,629;55,74
551,876;55,64
552,124;55,53
552,371;55,42
552,618;55,31
552,865;55,21
553,112;55,11
553,359;55
553,606;54,88
553,854;54,78
554,101;54,68
554,348;54,57
554,595;54,46
554,842;54,35
555,089;54,25
555,336;54,15
555,582;54,04
555,829;53,94
556,076;53,85
556,323;53,73
556,57;53,62
556,817;53,52
557,064;53,4
557,311;53,3
557,557;53,18
557,804;53,09
558,051;52,97
558,298;52,86
558,544;52,75
558,791;52,65
559,038;52,54
559,284;52,43
559,531;52,31
559,778;52,21
560,024;52,1
560,271;52
560,517;51,89
560,764;51,77
561,011;51,67
561,257;51,56
561,504;51,45
561,75;51,35
561,997;51,24
562,243;51,14
562,489;51,04
562,736;50,95
562,982;50,83
563,229;50,73
563,475;50,61
563,721;50,52
563,968;50,43
564,214;50,33
564,46;50,24
564,707;50,14
564,953;50,04
565,199;49,94
565,445;49,83
565,691;49,73
565,938;49,63
566,184;49,53
566,43;49,43
566,676;49,33
566,922;49,22
567,168;49,11
567,414;49,02
567,66;48,93
567,906;48,83
568,152;48,72
568,398;48,63
568,644;48,54
568,89;48,43
569,136;48,34
569,382;48,25
569,628;48,15
569,874;48,04
570,12;47,96
570,366;47,87
570,612;47,78
570,857;47,69
571,103;47,6
571,349;47,52
571,595;47,43
571,84;47,34
572,086;47,26
572,332;47,18
572,578;47,1
572,823;47,02
573,069;46,93
573,315;46,85
573,56;46,77
573,806;46,67
574,051;46,6
574,297;46,5
574,542;46,41
574,788;46,32
575,034;46,24
575,279;46,16
575,524;46,08
575,77;46
576,015;45,92
576,261;45,85
576,506;45,77
576,752;45,67
576,997;45,6
577,242;45,51
577,488;45,41
577,733;45,3
577,978;45,21
578,223;45,12
578,469;45,02
578,714;44,93
578,959;44,85
579,204;44,76
579,45;44,68
579,695;44,61
579,94;44,54
580,185;44,46
580,43;44,38
580,675;44,3
580,92;44,22
581,165;44,12
581,41;44,03
581,655;43,93
581,9;43,84
582,145;43,75
582,39;43,67
582,635;43,59
582,88;43,52
583,125;43,44
583,37;43,36
583,615;43,27
583,86;43,18
584,105;43,07
584,349;42,97
584,594;42,87
584,839;42,76
585,084;42,66
585,328;42,56
585,573;42,46
585,818;42,38
586,063;42,28
586,307;42,2
586,552;42,11
586,797;42,04
587,041;41,96
587,286;41,88
587,53;41,79
587,775;41,69
588,019;41,61
588,264;41,53
588,508;41,43
588,753;41,35
588,997;41,27
589,242;41,18
589,486;41,09
589,731;40,99
589,975;40,9
590,22;40,79
590,464;40,7
590,708;40,61
590,953;40,5
591,197;40,42
591,441;40,33
591,685;40,25
591,93;40,16
592,174;40,08
592,418;40
592,662;39,92
592,907;39,85
593,151;39,78
593,395;39,7
593,639;39,63
593,883;39,57
594,127;39,5
594,371;39,43
594,615;39,36
594,859;39,29
595,103;39,21
595,347;39,14
595,591;39,06
595,835;38,96
596,079;38,89
596,323;38,81
596,567;38,73
596,811;38,64
597,055;38,56
597,299;38,49
597,542;38,41
597,786;38,33
598,03;38,26
598,274;38,18
598,518;38,11
598,761;38,04
599,005;37,97
599,249;37,89
599,492;37,81
599,736;37,75
599,98;37,68
600,223;37,61
600,467;37,54
600,711;37,49
600,954;37,43
601,198;37,36
601,441;37,28
601,685;37,23
601,928;37,17
602,172;37,11
602,415;37,03
602,659;36,96
602,902;36,89
603,145;36,81
603,389;36,74
603,632;36,67
603,876;36,6
604,119;36,51
604,362;36,45
604,606;36,37
604,849;36,3
605,092;36,24
605,335;36,17
605,579;36,1
605,822;36,03
606,065;35,95
606,308;35,89
606,551;35,82
606,794;35,74
607,037;35,67
607,281;35,6
607,524;35,53
607,767;35,47
608,01;35,4
608,253;35,34
608,496;35,27
608,739;35,21
608,982;35,14
609,225;35,09
609,468;35,02
609,711;34,97
609,953;34,9
610,196;34,83
610,439;34,78
610,682;34,71
610,925;34,66
611,168;34,6
611,41;34,54
611,653;34,49
611,896;34,44
612,139;34,38
612,381;34,31
612,624;34,26
612,867;34,2
613,109;34,14
613,352;34,09
613,595;34,02
613,837;33,96
614,08;33,9
614,322;33,84
614,565;33,8
614,807;33,72
615,05;33,68
615,292;33,63
615,535;33,56
615,777;33,51
616,02;33,45
616,262;33,39
616,505;33,33
616,747;33,28
616,989;33,21
617,232;33,16
617,474;33,1
617,716;33,03
617,959;32,98
618,201;32,93
618,443;32,87
618,685;32,81
618,927;32,76
619,17;32,71
619,412;32,65
619,654;32,59
619,896;32,54
620,138;32,5
620,38;32,44
620,622;32,39
620,864;32,34
621,107;32,28
621,349;32,24
621,591;32,19
621,833;32,14
622,075;32,09
622,316;32,05
622,558;32,02
622,8;31,97
623,042;31,93
623,284;31,88
623,526;31,85
623,768;31,81
624,01;31,76
624,251;31,72
624,493;31,67
624,735;31,63
624,977;31,58
625,218;31,53
625,46;31,48
625,702;31,43
625,943;31,38
626,185;31,33
626,427;31,29
626,668;31,23
626,91;31,19
