Data from verderameWhite_Reflection__1__23.txt Node;
"Date: Thu Sep 11 16:21:53 CEST 2025 User: sycur";
530,053;32,36
530,302;32,32
530,551;32,29
530,8;32,25
531,048;32,2
531,297;32,15
531,546;32,1
531,794;32,06
532,043;32,01
532,292;31,96
532,54;31,92
532,789;31,87
533,037;31,81
533,286;31,75
533,535;31,7
533,783;31,65
534,032;31,6
534,28;31,56
534,528;31,51
534,777;31,47
535,025;31,42
535,274;31,36
535,522;31,3
535,771;31,24
536,019;31,19
536,267;31,12
536,516;31,08
536,764;31,02
537,012;30,95
537,26;30,89
537,509;30,83
537,757;30,76
538,005;30,7
538,253;30,65
538,501;30,59
538,75;30,54
538,998;30,47
539,246;30,42
539,494;30,35
539,742;30,28
539,99;30,21
540,238;30,13
540,486;30,07
540,734;30
540,982;29,93
541,23;29,87
541,478;29,81
541,726;29,73
541,974;29,67
542,222;29,61
542,47;29,54
542,718;29,48
542,966;29,42
543,213;29,34
543,461;29,28
543,709;29,21
543,957;29,13
544,205;29,06
544,452;28,99
544,7;28,9
544,948;28,83
545,196;28,77
545,443;28,71
545,691;28,64
545,939;28,57
546,186;28,5
546,434;28,42
546,681;28,35
546,929;28,28
547,176;28,21
547,424;28,13
547,671;28,06
547,919;27,99
548,166;27,91
548,414;27,85
548,661;27,78
548,909;27,71
549,156;27,65
549,404;27,58
549,651;27,51
549,898;27,45
550,146;27,38
550,393;27,31
550,64;27,23
550,888;27,16
551,135;27,09
551,382;27,02
551,629;26,95
551,876;26,88
552,124;26,81
552,371;26,75
552,618;26,67
552,865;26,6
553,112;26,53
553,359;26,46
553,606;26,38
553,854;26,3
554,101;26,24
554,348;26,17
554,595;26,1
554,842;26,02
555,089;25,95
555,336;25,89
555,582;25,8
555,829;25,73
556,076;25,65
556,323;25,58
556,57;25,51
556,817;25,43
557,064;25,34
557,311;25,26
557,557;25,18
557,804;25,12
558,051;25,04
558,298;24,97
558,544;24,89
558,791;24,82
559,038;24,74
559,284;24,66
559,531;24,57
559,778;24,5
560,024;24,42
560,271;24,35
560,517;24,27
560,764;24,2
561,011;24,14
561,257;24,07
561,504;23,99
561,75;23,91
561,997;23,85
562,243;23,79
562,489;23,72
562,736;23,65
562,982;23,58
563,229;23,51
563,475;23,44
563,721;23,37
563,968;23,3
564,214;23,23
564,46;23,16
564,707;23,1
564,953;23,02
565,199;22,96
565,445;22,89
565,691;22,82
565,938;22,76
566,184;22,69
566,43;22,63
566,676;22,58
566,922;22,51
567,168;22,45
567,414;22,39
567,66;22,34
567,906;22,28
568,152;22,23
568,398;22,17
568,644;22,12
568,89;22,06
569,136;22,03
569,382;21,97
569,628;21,92
569,874;21,87
570,12;21,82
570,366;21,78
570,612;21,73
570,857;21,68
571,103;21,63
571,349;21,59
571,595;21,54
571,84;21,49
572,086;21,45
572,332;21,41
572,578;21,35
572,823;21,29
573,069;21,24
573,315;21,18
573,56;21,12
573,806;21,06
574,051;21,01
574,297;20,95
574,542;20,9
574,788;20,84
575,034;20,79
575,279;20,74
575,524;20,69
575,77;20,63
576,015;20,58
576,261;20,53
576,506;20,48
576,752;20,42
576,997;20,37
577,242;20,31
577,488;20,25
577,733;20,19
577,978;20,12
578,223;20,07
578,469;20,02
578,714;19,97
578,959;19,92
579,204;19,87
579,45;19,82
579,695;19,78
579,94;19,73
580,185;19,68
580,43;19,63
580,675;19,58
580,92;19,52
581,165;19,46
581,41;19,41
581,655;19,34
581,9;19,29
582,145;19,23
582,39;19,18
582,635;19,13
582,88;19,08
583,125;19,03
583,37;18,98
583,615;18,92
583,86;18,86
584,105;18,79
584,349;18,74
584,594;18,67
584,839;18,6
585,084;18,52
585,328;18,46
585,573;18,4
585,818;18,34
586,063;18,28
586,307;18,24
586,552;18,18
586,797;18,13
587,041;18,07
587,286;18,01
587,53;17,95
587,775;17,89
588,019;17,82
588,264;17,78
588,508;17,71
588,753;17,64
588,997;17,59
589,242;17,52
589,486;17,45
589,731;17,39
589,975;17,33
590,22;17,27
590,464;17,22
590,708;17,17
590,953;17,11
591,197;17,06
591,441;17,01
591,685;16,97
591,93;16,92
592,174;16,88
592,418;16,84
592,662;16,8
592,907;16,76
593,151;16,72
593,395;16,67
593,639;16,63
593,883;16,59
594,127;16,55
594,371;16,51
594,615;16,47
594,859;16,42
595,103;16,38
595,347;16,32
595,591;16,26
595,835;16,19
596,079;16,14
596,323;16,09
596,567;16,04
596,811;15,98
597,055;15,93
597,299;15,88
597,542;15,85
597,786;15,8
598,03;15,76
598,274;15,71
598,518;15,68
598,761;15,64
599,005;15,6
599,249;15,55
599,492;15,52
599,736;15,48
599,98;15,45
600,223;15,41
600,467;15,39
600,711;15,36
600,954;15,33
601,198;15,3
601,441;15,26
601,685;15,22
601,928;15,2
602,172;15,16
602,415;15,11
602,659;15,06
602,902;15,03
603,145;14,98
603,389;14,94
603,632;14,9
603,876;14,86
604,119;14,82
604,362;14,78
604,606;14,74
604,849;14,71
605,092;14,67
605,335;14,62
605,579;14,58
605,822;14,54
606,065;14,49
606,308;14,46
606,551;14,42
606,794;14,38
607,037;14,33
607,281;14,3
607,524;14,26
607,767;14,23
608,01;14,19
608,253;14,15
608,496;14,11
608,739;14,08
608,982;14,04
609,225;14
609,468;13,96
609,711;13,92
609,953;13,87
610,196;13,83
610,439;13,8
610,682;13,76
610,925;13,72
611,168;13,69
611,41;13,65
611,653;13,62
611,896;13,58
612,139;13,54
612,381;13,5
612,624;13,47
612,867;13,43
613,109;13,39
613,352;13,35
613,595;13,31
613,837;13,27
614,08;13,24
614,322;13,21
614,565;13,18
614,807;13,13
615,05;13,1
615,292;13,07
615,535;13,04
615,777;13
616,02;12,98
616,262;12,94
616,505;12,91
616,747;12,88
616,989;12,86
617,232;12,83
617,474;12,8
617,716;12,76
617,959;12,74
618,201;12,71
618,443;12,68
618,685;12,65
618,927;12,63
619,17;12,59
619,412;12,57
619,654;12,55
619,896;12,53
620,138;12,51
620,38;12,49
620,622;12,47
620,864;12,46
621,107;12,43
621,349;12,4
621,591;12,39
621,833;12,37
622,075;12,35
622,316;12,33
622,558;12,3
622,8;12,28
623,042;12,26
623,284;12,25
623,526;12,23
623,768;12,22
624,01;12,19
624,251;12,18
624,493;12,15
624,735;12,13
624,977;12,1
625,218;12,08
625,46;12,04
625,702;12,02
625,943;11,99
626,185;11,96
626,427;11,93
626,668;11,9
626,91;11,87
