Data from verderameWhite_Reflection__4__26.txt Node;
"Date: Thu Sep 11 16:28:01 CEST 2025 User: sycur";
523,33;64,54
523,579;64,47
523,828;64,43
524,078;64,38
524,327;64,33
524,576;64,28
524,825;64,24
525,074;64,19
525,323;64,13
525,573;64,06
525,822;64,01
526,071;63,94
526,32;63,91
526,569;63,87
526,818;63,81
527,067;63,76
527,316;63,7
527,565;63,64
527,814;63,59
528,063;63,52
528,312;63,47
528,56;63,41
528,809;63,35
529,058;63,28
529,307;63,22
529,556;63,19
529,805;63,12
530,053;63,05
530,302;62,98
530,551;62,93
530,8;62,87
531,048;62,8
531,297;62,72
531,546;62,66
531,794;62,59
532,043;62,53
532,292;62,46
532,54;62,41
532,789;62,36
533,037;62,29
533,286;62,24
533,535;62,18
533,783;62,13
534,032;62,07
534,28;61,99
534,528;61,93
534,777;61,85
535,025;61,8
535,274;61,74
535,522;61,67
535,771;61,6
536,019;61,55
536,267;61,5
536,516;61,46
536,764;61,4
537,012;61,32
537,26;61,26
537,509;61,2
537,757;61,14
538,005;61,08
538,253;61,02
538,501;60,97
538,75;60,9
538,998;60,84
539,246;60,77
539,494;60,7
539,742;60,65
539,99;60,59
540,238;60,51
540,486;60,43
540,734;60,36
540,982;60,31
541,23;60,24
541,478;60,18
541,726;60,1
541,974;60,06
542,222;59,99
542,47;59,94
542,718;59,89
542,966;59,82
543,213;59,74
543,461;59,69
543,709;59,61
543,957;59,54
544,205;59,47
544,452;59,4
544,7;59,32
544,948;59,25
545,196;59,18
545,443;59,1
545,691;59,02
545,939;58,95
546,186;58,87
546,434;58,79
546,681;58,72
546,929;58,65
547,176;58,56
547,424;58,51
547,671;58,41
547,919;58,33
548,166;58,27
548,414;58,2
548,661;58,12
548,909;58,04
549,156;57,97
549,404;57,9
549,651;57,84
549,898;57,77
550,146;57,68
550,393;57,61
550,64;57,53
550,888;57,47
551,135;57,41
551,382;57,35
551,629;57,26
551,876;57,19
552,124;57,11
552,371;57,05
552,618;56,97
552,865;56,89
553,112;56,83
553,359;56,74
553,606;56,66
553,854;56,58
554,101;56,51
554,348;56,43
554,595;56,36
554,842;56,27
555,089;56,2
555,336;56,14
555,582;56,05
555,829;55,99
556,076;55,92
556,323;55,84
556,57;55,76
556,817;55,69
557,064;55,59
557,311;55,52
557,557;55,43
557,804;55,35
558,051;55,27
558,298;55,18
558,544;55,1
558,791;55,01
559,038;54,94
559,284;54,86
559,531;54,78
559,778;54,7
560,024;54,64
560,271;54,56
560,517;54,48
560,764;54,41
561,011;54,33
561,257;54,25
561,504;54,16
561,75;54,08
561,997;54
562,243;53,95
562,489;53,87
562,736;53,79
562,982;53,69
563,229;53,61
563,475;53,53
563,721;53,45
563,968;53,39
564,214;53,3
564,46;53,21
564,707;53,11
564,953;53,04
565,199;52,95
565,445;52,87
565,691;52,78
565,938;52,7
566,184;52,61
566,43;52,53
566,676;52,45
566,922;52,36
567,168;52,27
567,414;52,18
567,66;52,09
567,906;52,01
568,152;51,93
568,398;51,86
568,644;51,79
568,89;51,7
569,136;51,63
569,382;51,55
569,628;51,48
569,874;51,42
570,12;51,34
570,366;51,27
570,612;51,19
570,857;51,12
571,103;51,04
571,349;50,97
571,595;50,88
571,84;50,8
572,086;50,74
572,332;50,67
572,578;50,6
572,823;50,54
573,069;50,46
573,315;50,4
573,56;50,33
573,806;50,24
574,051;50,17
574,297;50,09
574,542;50,01
574,788;49,94
575,034;49,86
575,279;49,79
575,524;49,72
575,77;49,66
576,015;49,61
576,261;49,57
576,506;49,5
576,752;49,44
576,997;49,37
577,242;49,3
577,488;49,23
577,733;49,15
577,978;49,07
578,223;48,99
578,469;48,92
578,714;48,84
578,959;48,78
579,204;48,73
579,45;48,67
579,695;48,61
579,94;48,56
580,185;48,5
580,43;48,45
580,675;48,39
580,92;48,33
581,165;48,25
581,41;48,16
581,655;48,09
581,9;48,03
582,145;47,96
582,39;47,91
582,635;47,85
582,88;47,79
583,125;47,74
583,37;47,68
583,615;47,61
583,86;47,55
584,105;47,47
584,349;47,38
584,594;47,31
584,839;47,22
585,084;47,15
585,328;47,07
585,573;46,99
585,818;46,92
586,063;46,84
586,307;46,77
586,552;46,71
586,797;46,65
587,041;46,59
587,286;46,53
587,53;46,46
587,775;46,39
588,019;46,33
588,264;46,26
588,508;46,19
588,753;46,12
588,997;46,05
589,242;45,98
589,486;45,92
589,731;45,85
589,975;45,78
590,22;45,7
590,464;45,63
590,708;45,55
590,953;45,47
591,197;45,41
591,441;45,34
591,685;45,27
591,93;45,2
592,174;45,13
592,418;45,05
592,662;44,98
592,907;44,92
593,151;44,86
593,395;44,78
593,639;44,72
593,883;44,66
594,127;44,59
594,371;44,53
594,615;44,47
594,859;44,4
595,103;44,34
595,347;44,27
595,591;44,2
595,835;44,12
596,079;44,06
596,323;43,99
596,567;43,92
596,811;43,85
597,055;43,78
597,299;43,71
597,542;43,66
597,786;43,59
598,03;43,52
598,274;43,44
598,518;43,39
598,761;43,32
599,005;43,26
599,249;43,2
599,492;43,14
599,736;43,08
599,98;43,02
600,223;42,95
600,467;42,9
600,711;42,85
600,954;42,81
601,198;42,76
601,441;42,69
