Data from GaranzaWhite_Reflection__2__42.txt Node;
562,489;12,12
562,736;12,2
562,982;12,27
563,229;12,34
563,475;12,42
563,721;12,49
563,968;12,57
564,214;12,66
564,46;12,74
564,707;12,83
564,953;12,91
565,199;13
565,445;13,1
565,691;13,19
565,938;13,28
566,184;13,39
566,43;13,5
566,676;13,61
566,922;13,71
567,168;13,83
567,414;13,94
567,66;14,06
567,906;14,17
568,152;14,3
568,398;14,43
568,644;14,55
568,89;14,66
569,136;14,78
569,382;14,89
569,628;15
569,874;15,09
570,12;15,21
570,366;15,33
570,612;15,44
570,857;15,55
571,103;15,67
571,349;15,77
571,595;15,88
571,84;15,98
572,086;16,09
572,332;16,19
572,578;16,3
572,823;16,39
573,069;16,5
573,315;16,6
573,56;16,7
573,806;16,81
574,051;16,93
574,297;17,03
574,542;17,15
574,788;17,27
575,034;17,39
575,279;17,5
575,524;17,62
575,77;17,73
576,015;17,84
576,261;17,94
576,506;18,05
576,752;18,15
576,997;18,26
577,242;18,37
577,488;18,48
577,733;18,58
577,978;18,71
578,223;18,82
578,469;18,95
578,714;19,06
578,959;19,18
579,204;19,29
579,45;19,41
579,695;19,53
579,94;19,64
580,185;19,73
580,43;19,84
580,675;19,94
580,92;20,04
581,165;20,13
581,41;20,23
581,655;20,34
581,9;20,45
582,145;20,56
582,39;20,68
582,635;20,78
582,88;20,89
583,125;20,99
583,37;21,1
583,615;21,2
583,86;21,32
584,105;21,43
584,349;21,55
584,594;21,66
584,839;21,78
585,084;21,89
585,328;22,02
585,573;22,13
585,818;22,25
586,063;22,36
586,307;22,47
586,552;22,58
586,797;22,68
587,041;22,79
587,286;22,9
587,53;23,01
587,775;23,11
588,019;23,22
588,264;23,34
588,508;23,45
588,753;23,56
588,997;23,67
589,242;23,8
589,486;23,92
589,731;24,05
589,975;24,18
590,22;24,31
590,464;24,43
590,708;24,57
590,953;24,7
591,197;24,83
591,441;24,97
591,685;25,1
591,93;25,22
592,174;25,36
592,418;25,47
592,662;25,59
592,907;25,73
593,151;25,85
593,395;25,95
593,639;26,07
593,883;26,18
594,127;26,29
594,371;26,39
594,615;26,5
594,859;26,61
595,103;26,73
595,347;26,85
595,591;26,97
595,835;27,08
596,079;27,2
596,323;27,33
596,567;27,45
596,811;27,57
597,055;27,69
597,299;27,79
597,542;27,93
597,786;28,05
598,03;28,16
598,274;28,27
598,518;28,42
598,761;28,54
599,005;28,66
599,249;28,79
599,492;28,91
599,736;29,03
599,98;29,17
600,223;29,29
600,467;29,42
600,711;29,54
600,954;29,67
601,198;29,79
601,441;29,9
601,685;30,01
601,928;30,15
602,172;30,28
602,415;30,4
602,659;30,51
602,902;30,63
603,145;30,75
603,389;30,88
603,632;30,99
603,876;31,11
604,119;31,23
604,362;31,34
604,606;31,45
604,849;31,56
605,092;31,66
605,335;31,78
605,579;31,88
605,822;31,99
606,065;32,09
606,308;32,21
606,551;32,31
606,794;32,43
607,037;32,53
607,281;32,64
607,524;32,76
607,767;32,88
608,01;33
608,253;33,11
608,496;33,22
608,739;33,34
608,982;33,45
609,225;33,57
609,468;33,69
609,711;33,81
609,953;33,93
610,196;34,04
610,439;34,16
610,682;34,27
610,925;34,38
611,168;34,5
611,41;34,6
611,653;34,73
611,896;34,84
612,139;34,95
612,381;35,06
612,624;35,16
612,867;35,27
613,109;35,39
613,352;35,5
613,595;35,61
613,837;35,7
614,08;35,82
614,322;35,92
614,565;36,03
614,807;36,12
615,05;36,22
615,292;36,33
615,535;36,43
615,777;36,53
616,02;36,63
616,262;36,74
616,505;36,86
616,747;36,95
616,989;37,06
617,232;37,16
617,474;37,26
617,716;37,38
617,959;37,5
618,201;37,6
618,443;37,7
618,685;37,81
618,927;37,92
619,17;38,02
619,412;38,13
619,654;38,23
619,896;38,34
620,138;38,45
620,38;38,56
620,622;38,66
620,864;38,79
621,107;38,91
621,349;39
621,591;39,1
621,833;39,22
622,075;39,32
622,316;39,45
622,558;39,57
622,8;39,66
623,042;39,76
623,284;39,86
623,526;39,96
623,768;40,06
624,01;40,16
624,251;40,26
624,493;40,35
624,735;40,44
624,977;40,53
625,218;40,64
625,46;40,74
625,702;40,84
625,943;40,93
626,185;41,01
626,427;41,13
626,668;41,22
626,91;41,3
627,152;41,4
627,393;41,49
627,635;41,58
627,876;41,68
628,118;41,78
628,359;41,87
628,601;41,96
628,842;42,05
629,084;42,14
629,325;42,23
629,566;42,32
629,808;42,42
630,049;42,52
630,29;42,61
630,532;42,68
630,773;42,77
631,014;42,87
