Data from GaranzaWhite_Reflection__3__43.txt Node;
461,225;17,86
461,479;17,86
461,732;17,87
461,986;17,85
462,239;17,85
462,493;17,84
462,746;17,84
463;17,82
463,253;17,84
463,507;17,85
463,76;17,84
464,014;17,83
464,267;17,82
464,52;17,82
464,774;17,84
465,027;17,8
465,28;17,8
465,534;17,79
465,787;17,8
466,04;17,78
466,294;17,77
466,547;17,76
466,8;17,73
467,053;17,71
467,306;17,71
467,56;17,69
467,813;17,69
468,066;17,67
468,319;17,66
468,572;17,64
468,825;17,62
469,078;17,6
469,331;17,59
469,584;17,58
469,837;17,58
470,09;17,55
470,343;17,6
470,596;17,6
470,849;17,61
471,102;17,61
471,355;17,63
471,608;17,64
471,861;17,65
472,114;17,68
472,367;17,71
472,619;17,72
472,872;17,76
473,125;17,76
473,378;17,77
473,631;17,78
473,883;17,8
474,136;17,82
474,389;17,86
474,641;17,86
474,894;17,88
475,147;17,89
475,399;17,93
475,652;17,94
475,905;17,95
476,157;17,94
476,41;17,96
476,662;17,98
476,915;18
477,167;18,02
477,42;18,05
477,672;18,06
477,925;18,08
478,177;18,09
478,43;18,11
478,682;18,12
478,934;18,14
479,187;18,16
479,439;18,18
479,691;18,18
479,944;18,22
480,196;18,24
480,448;18,27
480,701;18,27
480,953;18,28
481,205;18,3
481,457;18,34
481,709;18,37
481,962;18,41
482,214;18,46
482,466;18,54
482,718;18,62
482,97;18,73
483,222;18,82
483,474;18,92
483,726;18,99
483,978;19,05
484,23;19,09
484,482;19,12
484,734;19,13
484,986;19,17
485,238;19,17
485,49;19,18
485,742;19,18
485,994;19,2
486,246;19,2
486,498;19,2
486,75;19,2
487,001;19,2
487,253;19,17
487,505;19,16
487,757;19,11
488,009;19,08
488,26;19
488,512;18,92
488,764;18,84
489,015;18,77
489,267;18,71
489,519;18,66
489,77;18,63
490,022;18,61
490,274;18,57
490,525;18,57
490,777;18,56
491,028;18,55
491,28;18,54
491,531;18,54
491,783;18,54
492,034;18,55
492,286;18,53
492,537;18,55
492,789;18,54
493,04;18,55
493,291;18,53
493,543;18,54
493,794;18,55
494,045;18,55
494,297;18,55
494,548;18,57
494,799;18,56
495,051;18,59
495,302;18,57
495,553;18,59
495,804;18,59
496,056;18,6
496,307;18,6
496,558;18,62
496,809;18,62
497,06;18,64
497,311;18,64
497,562;18,66
497,813;18,66
498,064;18,67
498,316;18,67
498,567;18,68
498,818;18,69
499,069;18,7
499,319;18,7
499,57;18,72
499,821;18,71
500,072;18,74
500,323;18,74
500,574;18,78
500,825;18,76
501,076;18,78
501,327;18,77
501,577;18,8
501,828;18,78
502,079;18,8
502,33;18,8
502,58;18,81
502,831;18,8
503,082;18,82
503,333;18,81
503,583;18,81
503,834;18,81
504,084;18,83
504,335;18,82
504,586;18,83
504,836;18,82
505,087;18,82
505,337;18,81
505,588;18,81
505,838;18,81
506,089;18,82
506,339;18,81
506,59;18,84
506,84;18,81
507,091;18,83
507,341;18,82
507,591;18,83
507,842;18,81
508,092;18,84
508,343;18,83
508,593;18,84
508,843;18,84
509,093;18,85
509,344;18,85
509,594;18,87
509,844;18,87
510,094;18,9
510,345;18,91
510,595;18,93
510,845;18,93
511,095;18,94
511,345;18,95
511,595;18,97
511,845;18,96
