Data from GaranzaWhite_Reflection__0__40.txt Node;
540,734;1,46
540,982;1,45
541,23;1,45
541,478;1,46
541,726;1,45
541,974;1,45
542,222;1,45
542,47;1,44
542,718;1,45
542,966;1,45
543,213;1,44
543,461;1,42
543,709;1,42
543,957;1,44
544,205;1,44
544,452;1,44
544,7;1,44
544,948;1,44
545,196;1,43
545,443;1,43
545,691;1,43
545,939;1,43
546,186;1,43
546,434;1,43
546,681;1,43
546,929;1,44
547,176;1,45
547,424;1,45
547,671;1,45
547,919;1,45
548,166;1,45
548,414;1,46
548,661;1,47
548,909;1,47
549,156;1,46
549,404;1,47
549,651;1,47
549,898;1,47
550,146;1,47
550,393;1,49
550,64;1,49
550,888;1,5
551,135;1,5
551,382;1,51
551,629;1,5
551,876;1,52
552,124;1,51
552,371;1,51
552,618;1,51
552,865;1,51
553,112;1,51
553,359;1,51
553,606;1,51
553,854;1,51
554,101;1,51
554,348;1,5
554,595;1,5
554,842;1,49
555,089;1,5
555,336;1,5
555,582;1,5
555,829;1,49
556,076;1,48
556,323;1,48
556,57;1,48
556,817;1,48
557,064;1,48
557,311;1,47
557,557;1,47
557,804;1,47
558,051;1,47
558,298;1,47
558,544;1,47
558,791;1,46
559,038;1,46
559,284;1,47
559,531;1,48
559,778;1,48
560,024;1,49
560,271;1,49
560,517;1,5
560,764;1,49
561,011;1,5
561,257;1,5
561,504;1,51
561,75;1,51
561,997;1,51
562,243;1,52
562,489;1,52
562,736;1,52
562,982;1,53
563,229;1,53
563,475;1,53
563,721;1,53
563,968;1,53
564,214;1,53
564,46;1,53
564,707;1,53
564,953;1,53
565,199;1,53
565,445;1,54
565,691;1,54
565,938;1,54
566,184;1,55
566,43;1,55
566,676;1,56
566,922;1,56
567,168;1,56
567,414;1,57
567,66;1,57
567,906;1,58
568,152;1,59
568,398;1,59
568,644;1,6
568,89;1,61
569,136;1,62
569,382;1,62
569,628;1,63
569,874;1,63
570,12;1,64
570,366;1,65
570,612;1,65
570,857;1,66
571,103;1,67
571,349;1,67
571,595;1,68
571,84;1,68
572,086;1,69
572,332;1,7
572,578;1,7
572,823;1,71
573,069;1,72
573,315;1,72
573,56;1,73
573,806;1,74
574,051;1,75
574,297;1,75
574,542;1,76
574,788;1,76
575,034;1,78
575,279;1,78
575,524;1,79
575,77;1,8
576,015;1,81
576,261;1,81
576,506;1,82
576,752;1,82
576,997;1,83
577,242;1,83
577,488;1,84
577,733;1,84
577,978;1,85
578,223;1,86
578,469;1,87
578,714;1,88
578,959;1,88
579,204;1,89
579,45;1,9
579,695;1,91
579,94;1,92
580,185;1,93
580,43;1,94
580,675;1,94
580,92;1,95
581,165;1,96
581,41;1,97
581,655;1,97
581,9;1,98
582,145;1,99
582,39;2
582,635;2,01
582,88;2,02
583,125;2,02
583,37;2,03
583,615;2,04
583,86;2,05
584,105;2,05
584,349;2,07
584,594;2,07
584,839;2,09
585,084;2,09
585,328;2,11
585,573;2,12
585,818;2,13
586,063;2,14
586,307;2,15
586,552;2,16
586,797;2,17
587,041;2,19
587,286;2,2
587,53;2,21
587,775;2,22
588,019;2,24
588,264;2,25
588,508;2,26
588,753;2,27
588,997;2,28
589,242;2,3
589,486;2,31
589,731;2,32
589,975;2,34
590,22;2,36
590,464;2,37
590,708;2,39
590,953;2,4
591,197;2,42
591,441;2,43
591,685;2,45
591,93;2,46
592,174;2,48
592,418;2,5
592,662;2,52
592,907;2,55
593,151;2,57
593,395;2,59
593,639;2,61
593,883;2,63
594,127;2,65
594,371;2,67
594,615;2,69
594,859;2,71
595,103;2,73
595,347;2,75
595,591;2,77
595,835;2,79
596,079;2,82
596,323;2,84
596,567;2,87
596,811;2,88
597,055;2,91
597,299;2,93
597,542;2,96
597,786;2,98
598,03;3
598,274;3,02
598,518;3,06
598,761;3,08
599,005;3,1
599,249;3,12
599,492;3,16
599,736;3,18
599,98;3,22
600,223;3,24
600,467;3,28
600,711;3,3
600,954;3,33
601,198;3,36
601,441;3,39
601,685;3,42
601,928;3,46
602,172;3,48
602,415;3,51
602,659;3,55
602,902;3,58
603,145;3,61
603,389;3,65
603,632;3,67
603,876;3,71
604,119;3,74
604,362;3,78
604,606;3,82
604,849;3,85
605,092;3,87
605,335;3,9
605,579;3,93
605,822;3,97
606,065;3,99
606,308;4,03
606,551;4,06
606,794;4,1
607,037;4,13
607,281;4,16
607,524;4,2
607,767;4,23
608,01;4,26
608,253;4,29
608,496;4,32
608,739;4,36
608,982;4,39
609,225;4,43
609,468;4,45
609,711;4,49
609,953;4,53
610,196;4,58
610,439;4,61
610,682;4,65
610,925;4,69
611,168;4,73
611,41;4,77
611,653;4,81
611,896;4,84
612,139;4,88
612,381;4,92
612,624;4,95
612,867;4,99
613,109;5,04
613,352;5,08
613,595;5,12
613,837;5,16
614,08;5,19
614,322;5,23
614,565;5,28
614,807;5,31
615,05;5,36
615,292;5,39
615,535;5,45
615,777;5,48
616,02;5,52
616,262;5,56
616,505;5,61
616,747;5,65
616,989;5,7
617,232;5,74
617,474;5,79
617,716;5,84
617,959;5,89
618,201;5,92
618,443;5,97
618,685;6,02
618,927;6,08
619,17;6,13
619,412;6,19
619,654;6,23
619,896;6,29
620,138;6,34
620,38;6,4
620,622;6,44
620,864;6,5
621,107;6,55
621,349;6,61
621,591;6,66
621,833;6,71
622,075;6,77
622,316;6,83
622,558;6,88
622,8;6,94
623,042;6,99
623,284;7,05
623,526;7,09
623,768;7,14
624,01;7,18
624,251;7,23
624,493;7,28
624,735;7,32
624,977;7,36
625,218;7,41
625,46;7,45
625,702;7,51
625,943;7,54
626,185;7,6
626,427;7,64
626,668;7,69
626,91;7,73
627,152;7,78
627,393;7,82
627,635;7,87
627,876;7,91
628,118;7,97
628,359;8,02
628,601;8,07
628,842;8,11
629,084;8,15
629,325;8,2
629,566;8,25
629,808;8,31
630,049;8,36
630,29;8,4
630,532;8,44
